Year,Age class of mother,Ratio
2004,20-24 years,0.03536367744971509
2004,25-29 years,0.0833150759361663
2004,30-34 years,0.1024799885108731
2004,35-39 years,0.05060794626119559
2004,40-44 years,0.009514890185289967
2004,45-49 years,0.0003572875612361413
2004,50 years or older,5.667604891426401e-06
2004,Less than 20 years,0.0010312096049054417
2005,20-24 years,0.03419401153231596
2005,25-29 years,0.08164326798462146
2005,30-34 years,0.10237128835113278
2005,35-39 years,0.05294757479278868
2005,40-44 years,0.01044338058936436
2005,45-49 years,0.00042339888839851167
2005,50 years or older,3.494228582650037e-06
2005,Less than 20 years,0.0009836082935521366
2006,20-24 years,0.03367361504422741
2006,25-29 years,0.08095131370250327
2006,30-34 years,0.10455309318315092
2006,35-39 years,0.05530129414936641
2006,40-44 years,0.01093311469206269
2006,45-49 years,0.0005249398943820932
2006,50 years or older,3.444524893236951e-06
2006,Less than 20 years,0.0009026974567595954
2007,20-24 years,0.032324030715641355
2007,25-29 years,0.0808750159907893
2007,30-34 years,0.10659042650485515
2007,35-39 years,0.058716942654095376
2007,40-44 years,0.011779484039128865
2007,45-49 years,0.0006893539183968767
2007,50 years or older,7.461208498723455e-06
2007,Less than 20 years,0.0009056605786890996
2008,20-24 years,0.03159669912081488
2008,25-29 years,0.08110346212076855
2008,30-34 years,0.10880006319614503
2008,35-39 years,0.06279292658009206
2008,40-44 years,0.0124700420589076
2008,45-49 years,0.0006775157315847919
2008,50 years or older,8.67908933653703e-06
2008,Less than 20 years,0.0008727612937717188
2009,20-24 years,0.03013668478858979
2009,25-29 years,0.07921394668692662
2009,30-34 years,0.1104252799937887
2009,35-39 years,0.06557446990059303
2009,40-44 years,0.013422712883973856
2009,45-49 years,0.0007777543064544006
2009,50 years or older,9.833002835182485e-06
2009,Less than 20 years,0.0008631603944122705
2010,20-24 years,0.03000034592500346
2010,25-29 years,0.07971794530654701
2010,30-34 years,0.11284650865415354
2010,35-39 years,0.06727902435164772
2010,40-44 years,0.014008139520048991
2010,45-49 years,0.0007291229870885775
2010,50 years or older,9.012459725570601e-06
2010,Less than 20 years,0.0007760894974119219
2011,20-24 years,0.027987410741480253
2011,25-29 years,0.0777988614800759
2011,30-34 years,0.11237124636896911
2011,35-39 years,0.0703660530348018
2011,40-44 years,0.014731895004583544
2011,45-49 years,0.0008628578096308442
2011,50 years or older,1.1427635450810695e-05
2011,Less than 20 years,0.0006756729848949256
2012,20-24 years,0.026900960867913024
2012,25-29 years,0.07673135613115267
2012,30-34 years,0.1142882341916588
2012,35-39 years,0.07142176027462573
2012,40-44 years,0.015361921751443054
2012,45-49 years,0.0009650658345383971
2012,50 years or older,1.3071407230355542e-05
2012,Less than 20 years,0.0006944140168066781
2013,20-24 years,0.026192010578910806
2013,25-29 years,0.07683875285592301
2013,30-34 years,0.11241397258689492
2013,35-39 years,0.07234245865884704
2013,40-44 years,0.01593039046389592
2013,45-49 years,0.0010103438516620461
2013,50 years or older,1.891240263163032e-05
2013,Less than 20 years,0.0005909053571002711
2014,20-24 years,0.024975530588855332
2014,25-29 years,0.07555728748921745
2014,30-34 years,0.11612733845875478
2014,35-39 years,0.07494683664547329
2014,40-44 years,0.016811813191487914
2014,45-49 years,0.0011157977340722938
2014,50 years or older,2.3887613555742942e-05
2014,Less than 20 years,0.0005791020496264134
2015,20-24 years,0.024428766979046015
2015,25-29 years,0.07561070903644719
2015,30-34 years,0.11541768612373296
2015,35-39 years,0.07563741672274266
2015,40-44 years,0.01772724767861571
2015,45-49 years,0.0011693590798567072
2015,50 years or older,1.8136683900416733e-05
2015,Less than 20 years,0.0005138369894643805
2016,20-24 years,0.023872544244883092
2016,25-29 years,0.07511611256952985
2016,30-34 years,0.11560073541839856
2016,35-39 years,0.07644900344807312
2016,40-44 years,0.018496399330560204
2016,45-49 years,0.001158763067402429
2016,50 years or older,1.89540576616896e-05
2016,Less than 20 years,0.0005703142964413167
2017,20-24 years,0.022359151911968873
2017,25-29 years,0.0733376887340302
2017,30-34 years,0.11450010445527431
2017,35-39 years,0.07585015895419338
2017,40-44 years,0.018591752906916132
2017,45-49 years,0.0013534730117481456
2017,50 years or older,1.8621059741438122e-05
2017,Less than 20 years,0.0004635979060827909
2018,20-24 years,0.021118916880831756
2018,25-29 years,0.07184749125749554
2018,30-34 years,0.11464993956908368
2018,35-39 years,0.0773134618152846
2018,40-44 years,0.018924285531117125
2018,45-49 years,0.0013703656798085386
2018,50 years or older,1.944207899150048e-05
2018,Less than 20 years,0.0004388265547637629
2019,20-24 years,0.02000613416290584
2019,25-29 years,0.06940955584818942
2019,30-34 years,0.11289166393107652
2019,35-39 years,0.07534545310362602
2019,40-44 years,0.019021094434988912
2019,45-49 years,0.0014447761588790918
2019,50 years or older,2.0804931863848147e-05
2019,Less than 20 years,0.0003519243400783381
2020,20-24 years,0.01805937764606266
2020,25-29 years,0.06938095664903947
2020,30-34 years,0.11377628660564207
2020,35-39 years,0.07468505807381681
2020,40-44 years,0.01828936288219797
2020,45-49 years,0.0014923220867022365
2020,50 years or older,2.4850961759232e-05
2020,Less than 20 years,0.00028954758505934464
2021,20-24 years,0.017452155630371145
2021,25-29 years,0.06941230562820812
2021,30-34 years,0.11964766975612963
2021,35-39 years,0.07993969751495404
2021,40-44 years,0.018785103602390288
2021,45-49 years,0.001337047730911528
2021,50 years or older,1.975341333643693e-05
2021,Less than 20 years,0.00023954378822824132
