Year,Marital status of mother,Age class of mother,Sex of child,Birth order,Age class of father,Count
2004,Married,Less than 20 years,Boy,First child,20-24 years,99
2004,Married,20-24 years,Boy,First child,20-24 years,710
2004,Married,25-29 years,Boy,First child,20-24 years,144
2004,Married,30-34 years,Boy,First child,20-24 years,28
2004,Married,35-39 years,Boy,First child,20-24 years,6
2004,Married,40-44 years,Boy,First child,20-24 years,3
2004,Married,45-49 years,Boy,First child,20-24 years,0
2004,Married,50 years or older,Boy,First child,20-24 years,0
2004,Other,Less than 20 years,Boy,First child,20-24 years,0
2004,Other,20-24 years,Boy,First child,20-24 years,0
2004,Other,25-29 years,Boy,First child,20-24 years,0
2004,Other,30-34 years,Boy,First child,20-24 years,0
2004,Other,35-39 years,Boy,First child,20-24 years,0
2004,Other,40-44 years,Boy,First child,20-24 years,0
2004,Other,45-49 years,Boy,First child,20-24 years,0
2004,Other,50 years or older,Boy,First child,20-24 years,0
2004,Married,Less than 20 years,Boy,Second child,20-24 years,0
2004,Married,20-24 years,Boy,Second child,20-24 years,138
2004,Married,25-29 years,Boy,Second child,20-24 years,45
2004,Married,30-34 years,Boy,Second child,20-24 years,9
2004,Married,35-39 years,Boy,Second child,20-24 years,2
2004,Married,40-44 years,Boy,Second child,20-24 years,0
2004,Married,45-49 years,Boy,Second child,20-24 years,0
2004,Married,50 years or older,Boy,Second child,20-24 years,0
2004,Other,Less than 20 years,Boy,Second child,20-24 years,0
2004,Other,20-24 years,Boy,Second child,20-24 years,0
2004,Other,25-29 years,Boy,Second child,20-24 years,0
2004,Other,30-34 years,Boy,Second child,20-24 years,0
2004,Other,35-39 years,Boy,Second child,20-24 years,0
2004,Other,40-44 years,Boy,Second child,20-24 years,0
2004,Other,45-49 years,Boy,Second child,20-24 years,0
2004,Other,50 years or older,Boy,Second child,20-24 years,0
2004,Married,Less than 20 years,Boy,Third child,20-24 years,0
2004,Married,20-24 years,Boy,Third child,20-24 years,7
2004,Married,25-29 years,Boy,Third child,20-24 years,3
2004,Married,30-34 years,Boy,Third child,20-24 years,1
2004,Married,35-39 years,Boy,Third child,20-24 years,0
2004,Married,40-44 years,Boy,Third child,20-24 years,0
2004,Married,45-49 years,Boy,Third child,20-24 years,0
2004,Married,50 years or older,Boy,Third child,20-24 years,0
2004,Other,Less than 20 years,Boy,Third child,20-24 years,0
2004,Other,20-24 years,Boy,Third child,20-24 years,0
2004,Other,25-29 years,Boy,Third child,20-24 years,0
2004,Other,30-34 years,Boy,Third child,20-24 years,0
