Year,Age,Sex,Ratio
2004,0,Female,
2004,0,Male,
2004,1,Female,0.0006318389385105833
2004,1,Male,0.0008991580610882538
2004,2,Female,0.00022808918287050236
2004,2,Male,0.00037459196232675124
2004,3,Female,0.00019719420812440138
2004,3,Male,0.00023955921105166494
2004,4,Female,0.0001400834897598969
2004,4,Male,0.00023716039948351735
2004,5,Female,0.00010694329331871775
2004,5,Male,7.569831697408594e-05
2004,6,Female,0.00013070870258541814
2004,6,Male,4.9633949621541135e-05
2004,7,Female,0.00010288065843621399
2004,7,Male,0.0001459925057180398
2004,8,Female,7.472352296502939e-05
2004,8,Male,9.412650602409639e-05
2004,9,Female,0.0002002302648045252
2004,9,Male,2.3761999809904e-05
2004,10,Female,9.819324430479184e-05
2004,10,Male,0.00011640359454299948
2004,11,Female,0.00012100384792236393
2004,11,Male,0.0001378929950358522
2004,12,Female,9.243852837862822e-05
2004,12,Male,8.827683615819209e-05
2004,13,Female,0.00023111234371027756
2004,13,Male,0.0001527783840412065
2004,14,Female,0.0001386545883114182
2004,14,Male,8.767123287671233e-05
2004,15,Female,0.00011726903862842132
2004,15,Male,0.0002449070466436602
2004,16,Female,0.00011718658447980875
2004,16,Male,0.0003104281691390053
2004,17,Female,0.00014541224371092046
2004,17,Male,0.00045896823939783367
2004,18,Female,0.00028860722961110175
2004,18,Male,0.0006424965580541532
2004,19,Female,0.00033633633633633635
2004,19,Male,0.0006946856547412296
2004,20,Female,0.0002878733357322778
2004,20,Male,0.0008641666477156437
2004,21,Female,0.00014348574708245647
2004,21,Male,0.0008093421204763557
2004,22,Female,0.00034503381331370476
2004,22,Male,0.0007753175381387819
2004,23,Female,0.0002773989227675166
2004,23,Male,0.000680766088771898
2004,24,Female,0.00020273466537517175
2004,24,Male,0.000723736288589845
2004,25,Female,0.0002257081593499605
2004,25,Male,0.0009097318565352863
2004,26,Female,0.00029179385886155505
2004,26,Male,0.0009044862518089725
2004,27,Female,0.00017568517217146873
2004,27,Male,0.0007515805296432203
2004,28,Female,0.00032206810666895693
2004,28,Male,0.0007479596101810502
2004,29,Female,0.00031745359886563247
2004,29,Male,0.0007520897350495305
2004,30,Female,0.00030458089668615983
2004,30,Male,0.0006984961788150218
2004,31,Female,0.00037529381555296583
2004,31,Male,0.0007214139713839125
2004,32,Female,0.0005315412798754675
2004,32,Male,0.0010328207482212532
2004,33,Female,0.000522965394117541
2004,33,Male,0.0006226536031498948
2004,34,Female,0.0003710706271093598
2004,34,Male,0.0005724200847897251
2004,35,Female,0.0005940257976917854
2004,35,Male,0.0007594587130626899
2004,36,Female,0.00038014643901955274
2004,36,Male,0.0010820529040635248
2004,37,Female,0.0005043274549359016
2004,37,Male,0.0013245899494693464
2004,38,Female,0.0005550885762771002
2004,38,Male,0.0010256733940321588
2004,39,Female,0.0005527479469361971
2004,39,Male,0.001224009172321899
2004,40,Female,0.0007131672377172447
2004,40,Male,0.0012153991066816566
2004,41,Female,0.0007578987257827672
2004,41,Male,0.0012909848814782554
2004,42,Female,0.0008802816901408451
2004,42,Male,0.0014749735466700869
2004,43,Female,0.0005187329529291678
2004,43,Male,0.0017219398314485819
2004,44,Female,0.0011608255518189112
2004,44,Male,0.0015849463816011331
2004,45,Female,0.001083650854685916
2004,45,Male,0.0022065921941801132
2004,46,Female,0.0010506294719681189
2004,46,Male,0.0023796513370115103
2004,47,Female,0.0013381482228291752
2004,47,Male,0.0023865063699982057
2004,48,Female,0.0018302232117587125
2004,48,Male,0.002552881108679796
2004,49,Female,0.001921621149478833
2004,49,Male,0.002339336997660663
2004,50,Female,0.0015577245390909988
2004,50,Male,0.002822035393027221
2004,51,Female,0.0017981977613448095
2004,51,Male,0.0037013065814489707
2004,52,Female,0.0022209659182684544
2004,52,Male,0.0037183736157141703
2004,53,Female,0.0021458776008246904
2004,53,Male,0.004166404957812533
2004,54,Female,0.0027041422542713155
2004,54,Male,0.004468528216430435
2004,55,Female,0.0027607235568008572
2004,55,Male,0.005137267795495643
2004,56,Female,0.002757166605846815
2004,56,Male,0.0056092685513809
2004,57,Female,0.003290222452146922
2004,57,Male,0.0057615386209612235
2004,58,Female,0.003286394741768413
2004,58,Male,0.006137649800266312
2004,59,Female,0.004234236200536918
2004,59,Male,0.007478448275862069
2004,60,Female,0.004352317939023586
2004,60,Male,0.008272872058042825
2004,61,Female,0.00462050689678603
2004,61,Male,0.008149413611598485
2004,62,Female,0.004604576094180196
2004,62,Male,0.00911316318863763
2004,63,Female,0.00447449787587039
2004,63,Male,0.009965899177879404
2004,64,Female,0.005892323835660667
2004,64,Male,0.01109244670991659
2004,65,Female,0.006055578598092078
2004,65,Male,0.012156874458615848
2004,66,Female,0.007736503782922805
2004,66,Male,0.014037495710765199
2004,67,Female,0.007648296919930039
2004,67,Male,0.014384691520950182
2004,68,Female,0.008056042031523642
2004,68,Male,0.017097997471891425
2004,69,Female,0.009173497469890214
2004,69,Male,0.0175343394946583
2004,70,Female,0.010571333915610034
2004,70,Male,0.019580321426064987
2004,71,Female,0.011741562672896047
2004,71,Male,0.022128359436324897
2004,72,Female,0.013093901982790871
2004,72,Male,0.022402015036446208
2004,73,Female,0.01429984997925245
2004,73,Male,0.026863881670997403
2004,74,Female,0.015411558669001752
2004,74,Male,0.031178738753679672
2004,75,Female,0.017771657157846416
2004,75,Male,0.034375416907546585
2004,76,Female,0.02039987820968233
2004,76,Male,0.03522818254603683
2004,77,Female,0.022370889526034478
2004,77,Male,0.04183326669332267
2004,78,Female,0.026208317056713663
2004,78,Male,0.04302264349657715
2004,79,Female,0.030200973752608266
2004,79,Male,0.0483619344773791
2004,80,Female,0.03372106240290986
2004,80,Male,0.05761467889908257
2004,81,Female,0.038519878652403
2004,81,Male,0.06455128205128205
2004,82,Female,0.04360068259385665
2004,82,Male,0.0716743119266055
2004,83,Female,0.052107576933023016
2004,83,Male,0.07878017789072427
2004,84,Female,0.060215053763440864
2004,84,Male,0.08978040540540541
2004,85,Female,0.07003798670465337
2004,85,Male,0.09923324813868208
2004,86,Female,0.0844429575108732
2004,86,Male,0.10844925296239052
2004,87,Female,0.08866161430358326
2004,87,Male,0.12467963214231871
2004,88,Female,0.1021300720822872
2004,88,Male,0.13696511428080427
2004,89,Female,0.1207516633698975
2004,89,Male,0.14752091409916343
2004,90,Female,0.13265212188161649
2004,90,Male,0.17190265486725664
2004,91,Female,0.15291684806269046
2004,91,Male,0.19016030956329463
2004,92,Female,0.16481268380002556
2004,92,Male,0.1929395316322964
2004,93,Female,0.17545557168198678
2004,93,Male,0.2024752475247525
2004,94,Female,0.1959117587532888
2004,94,Male,0.23925593329057088
2004,95,Female,0.21356025253911612
2004,95,Male,0.2555066079295154
2004,96,Female,0.23919915700737618
2004,96,Male,0.25875
2004,97,Female,0.24518743667679838
2004,97,Male,0.3159922928709056
2004,98,Female,0.28431372549019607
2004,98,Male,0.3159420289855073
2004,99,Female,0.30067167127617545
2004,99,Male,0.30991735537190085
2005,0,Female,
2005,0,Male,
2005,1,Female,0.00044961501714157256
2005,1,Male,0.0005096976688038201
2005,2,Female,0.00022917382834880258
2005,2,Male,0.0003801042571676803
2005,3,Female,0.00011303586062678385
2005,3,Male,0.00015916385919303923
2005,4,Female,2.808515418749649e-05
2005,4,Male,7.922465471254655e-05
2005,5,Female,0.00013907045309153617
2005,5,Male,0.00026143790849673205
2005,6,Female,0.00015934985260138634
2005,6,Male,0.0001502667234340955
2005,7,Female,0.00013022189811438692
2005,7,Male,0.0001479946721918011
2005,8,Female,0.00010233057893525033
2005,8,Male,7.250404814268797e-05
2005,9,Female,0.0
2005,9,Male,7.032183961932444e-05
2005,10,Female,7.466958707718346e-05
2005,10,Male,0.00016522683283765283
2005,11,Female,4.881025015253203e-05
2005,11,Male,9.245775836164852e-05
2005,12,Female,0.00014457482952218018
2005,12,Male,0.0002058224895373568
2005,13,Female,6.904487917146145e-05
2005,13,Male,0.00010986837768353512
2005,14,Female,6.902422750385386e-05
2005,14,Male,0.00013002773925104022
2005,15,Female,0.0001380548077586802
2005,15,Male,0.00021737712757863618
2005,16,Female,0.00027985074626865673
2005,16,Male,0.00017679558011049723
2005,17,Female,0.00020950696028679174
2005,17,Male,0.0004180969985036528
2005,18,Female,0.0002406275566677896
2005,18,Male,0.0005243958048335613
2005,19,Female,0.0003807348181991243
2005,19,Male,0.000592268616597189
2005,20,Female,0.00023662478407988452
2005,20,Male,0.0007125617745086771
2005,21,Female,0.0003060479789062316
2005,21,Male,0.0008555090278715836
2005,22,Female,0.00011714814554485603
2005,22,Male,0.000982116346527191
2005,23,Female,0.0004518854922162724
2005,23,Male,0.0006086976125526974
2005,24,Female,0.00022605511223636323
2005,24,Male,0.0008276479141035678
2005,25,Female,0.0002861104386293109
2005,25,Male,0.0005333688912594173
2005,26,Female,0.0003303746448472568
2005,26,Male,0.00046861401825363174
2005,27,Female,0.00021931267407943506
2005,27,Male,0.0007086387492526076
2005,28,Female,0.00044986182815278167
2005,28,Male,0.0006933160004333225
2005,29,Female,0.0002731494127287626
2005,29,Male,0.0006888238333046323
2005,30,Female,0.0003312217943940711
2005,30,Male,0.0005898959255045717
2005,31,Female,0.0002392439889947765
2005,31,Male,0.000584889677705619
2005,32,Female,0.00021427458313853825
2005,32,Male,0.0006315623273071762
2005,33,Female,0.00037444067923539213
2005,33,Male,0.0007740668718258538
2005,34,Female,0.0005538582480212967
2005,34,Male,0.0008328354425796172
2005,35,Female,0.0005085578002244669
2005,35,Male,0.000972951936174353
2005,36,Female,0.0005892652703885783
2005,36,Male,0.0010436805995175115
2005,37,Female,0.0004927564797477087
2005,37,Male,0.001041046995835812
2005,38,Female,0.0006140620202640467
2005,38,Male,0.0011376749175185685
2005,39,Female,0.0005530623854370773
2005,39,Male,0.001019943824632428
2005,40,Female,0.0006291286568103177
2005,40,Male,0.0011256052055385944
2005,41,Female,0.0007731082042242633
2005,41,Male,0.0011809056638052413
2005,42,Female,0.000961235423889064
