Year,Age_of_husband,Age_of_wife,Count
1984,20-29 ans,20-29 ans,1288
1984,20-29 ans,30-39 ans,242
1984,20-29 ans,40-49 ans,22
1984,20-29 ans,50-59 ans,6
1984,20-29 ans,60-69 ans,1
1984,20-29 ans,70-79 ans,0
1984,20-29 ans,80-89 ans,0
1984,20-29 ans,90 ans ou plus,0
1984,20-29 ans,Moins de 20 ans,9
1984,30-39 ans,20-29 ans,1307
1984,30-39 ans,30-39 ans,3056
1984,30-39 ans,40-49 ans,327
1984,30-39 ans,50-59 ans,18
1984,30-39 ans,60-69 ans,3
1984,30-39 ans,70-79 ans,0
1984,30-39 ans,80-89 ans,0
1984,30-39 ans,90 ans ou plus,0
1984,30-39 ans,Moins de 20 ans,1
1984,40-49 ans,20-29 ans,125
1984,40-49 ans,30-39 ans,1319
1984,40-49 ans,40-49 ans,1802
1984,40-49 ans,50-59 ans,123
1984,40-49 ans,60-69 ans,5
1984,40-49 ans,70-79 ans,1
1984,40-49 ans,80-89 ans,0
1984,40-49 ans,90 ans ou plus,0
1984,40-49 ans,Moins de 20 ans,0
1984,50-59 ans,20-29 ans,15
1984,50-59 ans,30-39 ans,129
1984,50-59 ans,40-49 ans,551
1984,50-59 ans,50-59 ans,466
1984,50-59 ans,60-69 ans,47
1984,50-59 ans,70-79 ans,4
1984,50-59 ans,80-89 ans,0
1984,50-59 ans,90 ans ou plus,0
1984,50-59 ans,Moins de 20 ans,0
1984,60-69 ans,20-29 ans,1
1984,60-69 ans,30-39 ans,17
1984,60-69 ans,40-49 ans,60
1984,60-69 ans,50-59 ans,104
1984,60-69 ans,60-69 ans,104
1984,60-69 ans,70-79 ans,10
1984,60-69 ans,80-89 ans,0
1984,60-69 ans,90 ans ou plus,0
1984,60-69 ans,Moins de 20 ans,0
1984,70-79 ans,20-29 ans,1
1984,70-79 ans,30-39 ans,0
1984,70-79 ans,40-49 ans,6
1984,70-79 ans,50-59 ans,14
1984,70-79 ans,60-69 ans,18
1984,70-79 ans,70-79 ans,10
1984,70-79 ans,80-89 ans,2
1984,70-79 ans,90 ans ou plus,0
1984,70-79 ans,Moins de 20 ans,0
1984,80-89 ans,20-29 ans,0
1984,80-89 ans,30-39 ans,0
1984,80-89 ans,40-49 ans,1
1984,80-89 ans,50-59 ans,0
1984,80-89 ans,60-69 ans,2
1984,80-89 ans,70-79 ans,1
1984,80-89 ans,80-89 ans,0
1984,80-89 ans,90 ans ou plus,0
1984,80-89 ans,Moins de 20 ans,0
1984,90 ans ou plus,20-29 ans,0
1984,90 ans ou plus,30-39 ans,0
1984,90 ans ou plus,40-49 ans,0
1984,90 ans ou plus,50-59 ans,0
1984,90 ans ou plus,60-69 ans,0
1984,90 ans ou plus,70-79 ans,0
1984,90 ans ou plus,80-89 ans,0
1984,90 ans ou plus,90 ans ou plus,0
1984,90 ans ou plus,Moins de 20 ans,0
1984,Moins de 20 ans,20-29 ans,0
1984,Moins de 20 ans,30-39 ans,0
1984,Moins de 20 ans,40-49 ans,0
1984,Moins de 20 ans,50-59 ans,0
1984,Moins de 20 ans,60-69 ans,0
1984,Moins de 20 ans,70-79 ans,0
1984,Moins de 20 ans,80-89 ans,0
1984,Moins de 20 ans,90 ans ou plus,0
1984,Moins de 20 ans,Moins de 20 ans,1
1985,20-29 ans,20-29 ans,1279
1985,20-29 ans,30-39 ans,284
1985,20-29 ans,40-49 ans,29
1985,20-29 ans,50-59 ans,4
1985,20-29 ans,60-69 ans,1
1985,20-29 ans,70-79 ans,1
1985,20-29 ans,80-89 ans,1
1985,20-29 ans,90 ans ou plus,0
1985,20-29 ans,Moins de 20 ans,7
1985,30-39 ans,20-29 ans,1267
1985,30-39 ans,30-39 ans,3054
1985,30-39 ans,40-49 ans,336
1985,30-39 ans,50-59 ans,21
1985,30-39 ans,60-69 ans,4
1985,30-39 ans,70-79 ans,0
1985,30-39 ans,80-89 ans,0
1985,30-39 ans,90 ans ou plus,0
1985,30-39 ans,Moins de 20 ans,1
1985,40-49 ans,20-29 ans,130
1985,40-49 ans,30-39 ans,1304
1985,40-49 ans,40-49 ans,1867
1985,40-49 ans,50-59 ans,135
1985,40-49 ans,60-69 ans,9
1985,40-49 ans,70-79 ans,0
1985,40-49 ans,80-89 ans,0
1985,40-49 ans,90 ans ou plus,0
1985,40-49 ans,Moins de 20 ans,1
1985,50-59 ans,20-29 ans,17
1985,50-59 ans,30-39 ans,125
1985,50-59 ans,40-49 ans,557
1985,50-59 ans,50-59 ans,511
1985,50-59 ans,60-69 ans,38
1985,50-59 ans,70-79 ans,6
1985,50-59 ans,80-89 ans,0
1985,50-59 ans,90 ans ou plus,0
1985,50-59 ans,Moins de 20 ans,0
1985,60-69 ans,20-29 ans,4
1985,60-69 ans,30-39 ans,10
