Year,Age_of_husband,Age_of_wife,Count
2007,20-24 ans,20-24 ans,1832
2007,20-24 ans,25-29 ans,505
2007,20-24 ans,30-34 ans,143
2007,20-24 ans,35-39 ans,44
2007,20-24 ans,40-49 ans,45
2007,20-24 ans,50-59 ans,12
2007,20-24 ans,60 ans ou plus,1
2007,20-24 ans,Moins de 20 ans,422
2007,25-29 ans,20-24 ans,2291
2007,25-29 ans,25-29 ans,4344
2007,25-29 ans,30-34 ans,1209
2007,25-29 ans,35-39 ans,243
2007,25-29 ans,40-49 ans,179
2007,25-29 ans,50-59 ans,52
2007,25-29 ans,60 ans ou plus,8
2007,25-29 ans,Moins de 20 ans,177
2007,30-34 ans,20-24 ans,839
2007,30-34 ans,25-29 ans,4015
2007,30-34 ans,30-34 ans,4326
2007,30-34 ans,35-39 ans,969
2007,30-34 ans,40-49 ans,366
2007,30-34 ans,50-59 ans,62
2007,30-34 ans,60 ans ou plus,16
2007,30-34 ans,Moins de 20 ans,62
2007,35-39 ans,20-24 ans,321
2007,35-39 ans,25-29 ans,1464
2007,35-39 ans,30-34 ans,2902
2007,35-39 ans,35-39 ans,1908
2007,35-39 ans,40-49 ans,581
2007,35-39 ans,50-59 ans,83
2007,35-39 ans,60 ans ou plus,12
2007,35-39 ans,Moins de 20 ans,14
2007,40-49 ans,20-24 ans,221
2007,40-49 ans,25-29 ans,763
2007,40-49 ans,30-34 ans,1441
2007,40-49 ans,35-39 ans,1788
2007,40-49 ans,40-49 ans,2020
2007,40-49 ans,50-59 ans,299
2007,40-49 ans,60 ans ou plus,42
2007,40-49 ans,Moins de 20 ans,14
2007,50-59 ans,20-24 ans,54
2007,50-59 ans,25-29 ans,154
2007,50-59 ans,30-34 ans,249
2007,50-59 ans,35-39 ans,361
2007,50-59 ans,40-49 ans,1097
2007,50-59 ans,50-59 ans,755
2007,50-59 ans,60 ans ou plus,91
2007,50-59 ans,Moins de 20 ans,3
2007,60 ans ou plus,20-24 ans,18
2007,60 ans ou plus,25-29 ans,54
2007,60 ans ou plus,30-34 ans,59
2007,60 ans ou plus,35-39 ans,96
2007,60 ans ou plus,40-49 ans,322
2007,60 ans ou plus,50-59 ans,545
2007,60 ans ou plus,60 ans ou plus,298
2007,60 ans ou plus,Moins de 20 ans,1
2007,Moins de 20 ans,20-24 ans,56
2007,Moins de 20 ans,25-29 ans,10
2007,Moins de 20 ans,30-34 ans,2
2007,Moins de 20 ans,35-39 ans,2
2007,Moins de 20 ans,40-49 ans,1
2007,Moins de 20 ans,50-59 ans,0
2007,Moins de 20 ans,60 ans ou plus,0
2007,Moins de 20 ans,Moins de 20 ans,67
2008,20-24 ans,20-24 ans,1741
2008,20-24 ans,25-29 ans,555
2008,20-24 ans,30-34 ans,120
2008,20-24 ans,35-39 ans,49
2008,20-24 ans,40-49 ans,46
2008,20-24 ans,50-59 ans,5
2008,20-24 ans,60 ans ou plus,1
2008,20-24 ans,Moins de 20 ans,385
2008,25-29 ans,20-24 ans,2346
2008,25-29 ans,25-29 ans,4324
2008,25-29 ans,30-34 ans,1229
2008,25-29 ans,35-39 ans,289
2008,25-29 ans,40-49 ans,139
2008,25-29 ans,50-59 ans,30
2008,25-29 ans,60 ans ou plus,1
2008,25-29 ans,Moins de 20 ans,163
2008,30-34 ans,20-24 ans,831
2008,30-34 ans,25-29 ans,4186
2008,30-34 ans,30-34 ans,4481
2008,30-34 ans,35-39 ans,973
2008,30-34 ans,40-49 ans,306
2008,30-34 ans,50-59 ans,50
2008,30-34 ans,60 ans ou plus,6
2008,30-34 ans,Moins de 20 ans,45
2008,35-39 ans,20-24 ans,312
2008,35-39 ans,25-29 ans,1542
2008,35-39 ans,30-34 ans,2993
2008,35-39 ans,35-39 ans,2031
2008,35-39 ans,40-49 ans,539
2008,35-39 ans,50-59 ans,60
2008,35-39 ans,60 ans ou plus,7
2008,35-39 ans,Moins de 20 ans,18
2008,40-49 ans,20-24 ans,165
2008,40-49 ans,25-29 ans,735
2008,40-49 ans,30-34 ans,1497
2008,40-49 ans,35-39 ans,1985
2008,40-49 ans,40-49 ans,2289
2008,40-49 ans,50-59 ans,349
2008,40-49 ans,60 ans ou plus,25
2008,40-49 ans,Moins de 20 ans,8
2008,50-59 ans,20-24 ans,39
2008,50-59 ans,25-29 ans,151
2008,50-59 ans,30-34 ans,276
2008,50-59 ans,35-39 ans,390
2008,50-59 ans,40-49 ans,1206
2008,50-59 ans,50-59 ans,874
2008,50-59 ans,60 ans ou plus,94
2008,50-59 ans,Moins de 20 ans,4
2008,60 ans ou plus,20-24 ans,15
2008,60 ans ou plus,25-29 ans,39
2008,60 ans ou plus,30-34 ans,72
2008,60 ans ou plus,35-39 ans,86
2008,60 ans ou plus,40-49 ans,376
2008,60 ans ou plus,50-59 ans,542
2008,60 ans ou plus,60 ans ou plus,415
2008,60 ans ou plus,Moins de 20 ans,0
2008,Moins de 20 ans,20-24 ans,35
2008,Moins de 20 ans,25-29 ans,9
2008,Moins de 20 ans,30-34 ans,1
2008,Moins de 20 ans,35-39 ans,2
2008,Moins de 20 ans,40-49 ans,0
2008,Moins de 20 ans,50-59 ans,0
2008,Moins de 20 ans,60 ans ou plus,0
2008,Moins de 20 ans,Moins de 20 ans,52
2009,20-24 ans,20-24 ans,1860
2009,20-24 ans,25-29 ans,494
2009,20-24 ans,30-34 ans,133
2009,20-24 ans,35-39 ans,45
2009,20-24 ans,40-49 ans,34
2009,20-24 ans,50-59 ans,6
2009,20-24 ans,60 ans ou plus,0
2009,20-24 ans,Moins de 20 ans,385
2009,25-29 ans,20-24 ans,2315
2009,25-29 ans,25-29 ans,4516
2009,25-29 ans,30-34 ans,1228
2009,25-29 ans,35-39 ans,249
2009,25-29 ans,40-49 ans,135
2009,25-29 ans,50-59 ans,36
2009,25-29 ans,60 ans ou plus,3
2009,25-29 ans,Moins de 20 ans,158
2009,30-34 ans,20-24 ans,858
2009,30-34 ans,25-29 ans,4172
2009,30-34 ans,30-34 ans,4748
2009,30-34 ans,35-39 ans,960
2009,30-34 ans,40-49 ans,279
2009,30-34 ans,50-59 ans,50
2009,30-34 ans,60 ans ou plus,8
2009,30-34 ans,Moins de 20 ans,33
2009,35-39 ans,20-24 ans,308
2009,35-39 ans,25-29 ans,1568
2009,35-39 ans,30-34 ans,3061
2009,35-39 ans,35-39 ans,1947
2009,35-39 ans,40-49 ans,591
2009,35-39 ans,50-59 ans,45
2009,35-39 ans,60 ans ou plus,5
2009,35-39 ans,Moins de 20 ans,19
2009,40-49 ans,20-24 ans,184
2009,40-49 ans,25-29 ans,714
2009,40-49 ans,30-34 ans,1597
2009,40-49 ans,35-39 ans,1895
2009,40-49 ans,40-49 ans,2246
2009,40-49 ans,50-59 ans,306
2009,40-49 ans,60 ans ou plus,34
2009,40-49 ans,Moins de 20 ans,9
2009,50-59 ans,20-24 ans,32
2009,50-59 ans,25-29 ans,143
2009,50-59 ans,30-34 ans,255
2009,50-59 ans,35-39 ans,406
2009,50-59 ans,40-49 ans,1259
2009,50-59 ans,50-59 ans,844
2009,50-59 ans,60 ans ou plus,80
2009,50-59 ans,Moins de 20 ans,4
2009,60 ans ou plus,20-24 ans,8
2009,60 ans ou plus,25-29 ans,32
2009,60 ans ou plus,30-34 ans,56
2009,60 ans ou plus,35-39 ans,88
2009,60 ans ou plus,40-49 ans,392
2009,60 ans ou plus,50-59 ans,594
2009,60 ans ou plus,60 ans ou plus,387
2009,60 ans ou plus,Moins de 20 ans,0
2009,Moins de 20 ans,20-24 ans,42
2009,Moins de 20 ans,25-29 ans,10
2009,Moins de 20 ans,30-34 ans,3
2009,Moins de 20 ans,35-39 ans,0
2009,Moins de 20 ans,40-49 ans,0
2009,Moins de 20 ans,50-59 ans,0
2009,Moins de 20 ans,60 ans ou plus,0
2009,Moins de 20 ans,Moins de 20 ans,49
2010,20-24 ans,20-24 ans,1860
2010,20-24 ans,25-29 ans,527
2010,20-24 ans,30-34 ans,134
2010,20-24 ans,35-39 ans,35
2010,20-24 ans,40-49 ans,28
2010,20-24 ans,50-59 ans,5
2010,20-24 ans,60 ans ou plus,1
2010,20-24 ans,Moins de 20 ans,357
2010,25-29 ans,20-24 ans,2443
2010,25-29 ans,25-29 ans,4800
2010,25-29 ans,30-34 ans,1268
2010,25-29 ans,35-39 ans,260
2010,25-29 ans,40-49 ans,139
2010,25-29 ans,50-59 ans,24
2010,25-29 ans,60 ans ou plus,5
2010,25-29 ans,Moins de 20 ans,153
2010,30-34 ans,20-24 ans,786
2010,30-34 ans,25-29 ans,4313
2010,30-34 ans,30-34 ans,4971
2010,30-34 ans,35-39 ans,1002
2010,30-34 ans,40-49 ans,286
2010,30-34 ans,50-59 ans,41
2010,30-34 ans,60 ans ou plus,9
2010,30-34 ans,Moins de 20 ans,40
2010,35-39 ans,20-24 ans,245
2010,35-39 ans,25-29 ans,1384
2010,35-39 ans,30-34 ans,3231
2010,35-39 ans,35-39 ans,2145
2010,35-39 ans,40-49 ans,554
2010,35-39 ans,50-59 ans,61
2010,35-39 ans,60 ans ou plus,4
2010,35-39 ans,Moins de 20 ans,6
2010,40-49 ans,20-24 ans,184
2010,40-49 ans,25-29 ans,737
2010,40-49 ans,30-34 ans,1628
2010,40-49 ans,35-39 ans,2053
2010,40-49 ans,40-49 ans,2402
2010,40-49 ans,50-59 ans,355
2010,40-49 ans,60 ans ou plus,32
2010,40-49 ans,Moins de 20 ans,4
2010,50-59 ans,20-24 ans,49
2010,50-59 ans,25-29 ans,129
2010,50-59 ans,30-34 ans,277
2010,50-59 ans,35-39 ans,387
2010,50-59 ans,40-49 ans,1273
2010,50-59 ans,50-59 ans,918
2010,50-59 ans,60 ans ou plus,97
2010,50-59 ans,Moins de 20 ans,1
2010,60 ans ou plus,20-24 ans,9
2010,60 ans ou plus,25-29 ans,25
2010,60 ans ou plus,30-34 ans,55
2010,60 ans ou plus,35-39 ans,97
2010,60 ans ou plus,40-49 ans,338
2010,60 ans ou plus,50-59 ans,594
2010,60 ans ou plus,60 ans ou plus,410
2010,60 ans ou plus,Moins de 20 ans,1
2010,Moins de 20 ans,20-24 ans,36
2010,Moins de 20 ans,25-29 ans,12
2010,Moins de 20 ans,30-34 ans,1
2010,Moins de 20 ans,35-39 ans,0
2010,Moins de 20 ans,40-49 ans,0
2010,Moins de 20 ans,50-59 ans,0
2010,Moins de 20 ans,60 ans ou plus,0
2010,Moins de 20 ans,Moins de 20 ans,36
2011,20-24 ans,20-24 ans,1785
2011,20-24 ans,25-29 ans,505
2011,20-24 ans,30-34 ans,114
2011,20-24 ans,35-39 ans,28
2011,20-24 ans,40-49 ans,23
2011,20-24 ans,50-59 ans,6
2011,20-24 ans,60 ans ou plus,0
2011,20-24 ans,Moins de 20 ans,327
2011,25-29 ans,20-24 ans,2375
2011,25-29 ans,25-29 ans,4515
2011,25-29 ans,30-34 ans,1276
2011,25-29 ans,35-39 ans,280
2011,25-29 ans,40-49 ans,123
2011,25-29 ans,50-59 ans,33
2011,25-29 ans,60 ans ou plus,2
2011,25-29 ans,Moins de 20 ans,143
2011,30-34 ans,20-24 ans,752
2011,30-34 ans,25-29 ans,4152
2011,30-34 ans,30-34 ans,4960
2011,30-34 ans,35-39 ans,996
2011,30-34 ans,40-49 ans,264
2011,30-34 ans,50-59 ans,53
2011,30-34 ans,60 ans ou plus,6
2011,30-34 ans,Moins de 20 ans,36
2011,35-39 ans,20-24 ans,218
2011,35-39 ans,25-29 ans,1369
2011,35-39 ans,30-34 ans,3023
2011,35-39 ans,35-39 ans,1982
2011,35-39 ans,40-49 ans,594
2011,35-39 ans,50-59 ans,68
2011,35-39 ans,60 ans ou plus,5
2011,35-39 ans,Moins de 20 ans,8
2011,40-49 ans,20-24 ans,155
2011,40-49 ans,25-29 ans,662
2011,40-49 ans,30-34 ans,1609
2011,40-49 ans,35-39 ans,2083
2011,40-49 ans,40-49 ans,2401
2011,40-49 ans,50-59 ans,357
2011,40-49 ans,60 ans ou plus,18
2011,40-49 ans,Moins de 20 ans,9
2011,50-59 ans,20-24 ans,20
2011,50-59 ans,25-29 ans,123
2011,50-59 ans,30-34 ans,240
2011,50-59 ans,35-39 ans,359
2011,50-59 ans,40-49 ans,1280
2011,50-59 ans,50-59 ans,966
2011,50-59 ans,60 ans ou plus,96
2011,50-59 ans,Moins de 20 ans,1
2011,60 ans ou plus,20-24 ans,10
2011,60 ans ou plus,25-29 ans,34
2011,60 ans ou plus,30-34 ans,77
2011,60 ans ou plus,35-39 ans,84
2011,60 ans ou plus,40-49 ans,362
2011,60 ans ou plus,50-59 ans,609
2011,60 ans ou plus,60 ans ou plus,418
2011,60 ans ou plus,Moins de 20 ans,0
2011,Moins de 20 ans,20-24 ans,36
2011,Moins de 20 ans,25-29 ans,11
2011,Moins de 20 ans,30-34 ans,2
2011,Moins de 20 ans,35-39 ans,0
2011,Moins de 20 ans,40-49 ans,2
2011,Moins de 20 ans,50-59 ans,0
2011,Moins de 20 ans,60 ans ou plus,0
2011,Moins de 20 ans,Moins de 20 ans,38
2012,20-24 ans,20-24 ans,1854
2012,20-24 ans,25-29 ans,511
2012,20-24 ans,30-34 ans,98
2012,20-24 ans,35-39 ans,41
2012,20-24 ans,40-49 ans,32
2012,20-24 ans,50-59 ans,5
2012,20-24 ans,60 ans ou plus,0
2012,20-24 ans,Moins de 20 ans,320
2012,25-29 ans,20-24 ans,2392
2012,25-29 ans,25-29 ans,4628
2012,25-29 ans,30-34 ans,1339
2012,25-29 ans,35-39 ans,250
2012,25-29 ans,40-49 ans,131
2012,25-29 ans,50-59 ans,26
2012,25-29 ans,60 ans ou plus,3
2012,25-29 ans,Moins de 20 ans,176
2012,30-34 ans,20-24 ans,761
2012,30-34 ans,25-29 ans,4489
2012,30-34 ans,30-34 ans,5203
2012,30-34 ans,35-39 ans,968
2012,30-34 ans,40-49 ans,228
2012,30-34 ans,50-59 ans,40
2012,30-34 ans,60 ans ou plus,5
2012,30-34 ans,Moins de 20 ans,37
2012,35-39 ans,20-24 ans,223
2012,35-39 ans,25-29 ans,1360
2012,35-39 ans,30-34 ans,3111
2012,35-39 ans,35-39 ans,1973
2012,35-39 ans,40-49 ans,558
2012,35-39 ans,50-59 ans,60
2012,35-39 ans,60 ans ou plus,3
2012,35-39 ans,Moins de 20 ans,11
2012,40-49 ans,20-24 ans,179
2012,40-49 ans,25-29 ans,682
2012,40-49 ans,30-34 ans,1465
2012,40-49 ans,35-39 ans,1986
2012,40-49 ans,40-49 ans,2323
2012,40-49 ans,50-59 ans,379
2012,40-49 ans,60 ans ou plus,23
2012,40-49 ans,Moins de 20 ans,8
2012,50-59 ans,20-24 ans,33
2012,50-59 ans,25-29 ans,133
2012,50-59 ans,30-34 ans,246
2012,50-59 ans,35-39 ans,354
2012,50-59 ans,40-49 ans,1305
2012,50-59 ans,50-59 ans,953
2012,50-59 ans,60 ans ou plus,104
2012,50-59 ans,Moins de 20 ans,1
2012,60 ans ou plus,20-24 ans,8
2012,60 ans ou plus,25-29 ans,22
2012,60 ans ou plus,30-34 ans,47
2012,60 ans ou plus,35-39 ans,83
2012,60 ans ou plus,40-49 ans,362
2012,60 ans ou plus,50-59 ans,604
2012,60 ans ou plus,60 ans ou plus,431
2012,60 ans ou plus,Moins de 20 ans,1
2012,Moins de 20 ans,20-24 ans,37
2012,Moins de 20 ans,25-29 ans,5
2012,Moins de 20 ans,30-34 ans,5
2012,Moins de 20 ans,35-39 ans,0
2012,Moins de 20 ans,40-49 ans,1
2012,Moins de 20 ans,50-59 ans,0
2012,Moins de 20 ans,60 ans ou plus,0
2012,Moins de 20 ans,Moins de 20 ans,38
2013,20-24 ans,20-24 ans,1688
2013,20-24 ans,25-29 ans,456
2013,20-24 ans,30-34 ans,105
2013,20-24 ans,35-39 ans,27
2013,20-24 ans,40-49 ans,19
2013,20-24 ans,50-59 ans,5
2013,20-24 ans,60 ans ou plus,1
2013,20-24 ans,Moins de 20 ans,266
2013,25-29 ans,20-24 ans,2243
2013,25-29 ans,25-29 ans,4344
2013,25-29 ans,30-34 ans,1175
