Year,Sex,Age,Ratio
2004,Male,1,0.0133
2004,Male,2,0.0081
2004,Male,3,0.0074
2004,Male,4,0.0066
2004,Male,5,0.0067
2004,Male,6,0.0067
2004,Male,7,0.0067
2004,Male,8,0.005
2004,Male,9,0.0066
2004,Male,10,0.006
2004,Male,11,0.0055
2004,Male,12,0.0042
2004,Male,13,0.0064
2004,Male,14,0.008
2004,Male,15,0.0074
2004,Male,16,0.0078
2004,Male,17,0.0067
2004,Male,18,0.0074
2004,Male,19,0.0078
2004,Male,20,0.0123
2004,Male,21,0.0135
2004,Male,22,0.0144
2004,Male,23,0.0173
2004,Male,24,0.0202
2004,Male,25,0.0236
2004,Male,26,0.0248
2004,Male,27,0.0238
2004,Male,28,0.0245
2004,Male,29,0.0231
2004,Male,30,0.0203
2004,Male,31,0.0169
2004,Male,32,0.0156
2004,Male,33,0.0133
2004,Male,34,0.0123
2004,Male,35,0.0102
2004,Male,36,0.0093
2004,Male,37,0.0078
2004,Male,38,0.0073
2004,Male,39,0.0063
2004,Male,40,0.0045
2004,Male,41,0.004
2004,Male,42,0.0041
2004,Male,43,0.004
2004,Male,44,0.0032
2004,Male,45,0.0034
2004,Male,46,0.0015
2004,Male,47,0.0013
2004,Male,48,0.002
2004,Male,49,0.0021
2004,Male,50,0.0013
2004,Male,51,-0.0004
2004,Male,52,-0.0004
2004,Male,53,-0.0007
2004,Male,54,-0.0014
2004,Male,55,-0.0017
2004,Male,56,-0.0021
2004,Male,57,-0.0023
2004,Male,58,-0.0028
2004,Male,59,-0.0029
2004,Male,60,-0.0034
2004,Male,61,-0.0045
2004,Male,62,-0.0046
2004,Male,63,-0.0047
2004,Male,64,-0.0049
2004,Male,65,-0.0107
2004,Male,66,-0.0059
2004,Male,67,-0.0043
2004,Male,68,-0.0026
2004,Male,69,-0.0026
2004,Male,70,-0.0022
2004,Male,71,-0.0022
2004,Male,72,-0.0012
2004,Male,73,-0.0017
2004,Male,74,-0.0019
2004,Male,75,-0.0003
2004,Male,76,-0.0011
2004,Male,77,-0.0016
2004,Male,78,-0.0011
2004,Male,79,-0.0006
2004,Male,80,-0.0007
2004,Male,81,-0.0012
2004,Male,82,-0.0006
2004,Male,83,-0.0021
2004,Male,84,-0.0012
2004,Male,85,-0.001
2004,Male,86,-0.0006
2004,Male,87,-0.0018
2004,Male,88,-0.0005
2004,Male,89,-0.002
2004,Male,90,-0.0004
2004,Male,91,-0.0006
2004,Male,92,-0.0017
2004,Male,93,0.001
2004,Male,94,-0.0026
2004,Male,95,-0.0009
2004,Male,96,-0.0025
2004,Male,97,0.0019
2004,Male,98,0.0
2004,Male,99,-0.0021
2004,Female,1,0.0119
2004,Female,2,0.0091
2004,Female,3,0.0036
2004,Female,4,0.0055
2004,Female,5,0.0052
2004,Female,6,0.0045
2004,Female,7,0.0055
2004,Female,8,0.0051
2004,Female,9,0.0046
2004,Female,10,0.0052
