Year,Sex,Marital status,Age,Count
2004,Male,Single,0,155
2004,Male,Married,0,0
2004,Male,Widowed,0,0
2004,Male,Divorced,0,0
2004,Male,Unmarried,0,0
2004,Male,In a registered partnership,0,0
2004,Male,Partnership dissolved,0,0
2004,Female,Single,0,119
2004,Female,Married,0,0
2004,Female,Widowed,0,0
2004,Female,Divorced,0,0
2004,Female,Unmarried,0,0
2004,Female,In a registered partnership,0,0
2004,Female,Partnership dissolved,0,0
2005,Male,Single,0,168
2005,Male,Married,0,0
2005,Male,Widowed,0,0
2005,Male,Divorced,0,0
2005,Male,Unmarried,0,0
2005,Male,In a registered partnership,0,0
2005,Male,Partnership dissolved,0,0
2005,Female,Single,0,115
2005,Female,Married,0,0
2005,Female,Widowed,0,0
2005,Female,Divorced,0,0
2005,Female,Unmarried,0,0
2005,Female,In a registered partnership,0,0
2005,Female,Partnership dissolved,0,0
2006,Male,Single,0,158
2006,Male,Married,0,0
2006,Male,Widowed,0,0
2006,Male,Divorced,0,0
2006,Male,Unmarried,0,0
2006,Male,In a registered partnership,0,0
2006,Male,Partnership dissolved,0,0
2006,Female,Single,0,133
2006,Female,Married,0,0
2006,Female,Widowed,0,0
2006,Female,Divorced,0,0
2006,Female,Unmarried,0,0
2006,Female,In a registered partnership,0,0
2006,Female,Partnership dissolved,0,0
2007,Male,Single,0,142
2007,Male,Married,0,0
2007,Male,Widowed,0,0
2007,Male,Divorced,0,0
2007,Male,Unmarried,0,0
2007,Male,In a registered partnership,0,0
2007,Male,Partnership dissolved,0,0
2007,Female,Single,0,127
2007,Female,Married,0,0
2007,Female,Widowed,0,0
2007,Female,Divorced,0,0
2007,Female,Unmarried,0,0
2007,Female,In a registered partnership,0,0
2007,Female,Partnership dissolved,0,0
2008,Male,Single,0,150
2008,Male,Married,0,0
2008,Male,Widowed,0,0
2008,Male,Divorced,0,0
2008,Male,Unmarried,0,0
2008,Male,In a registered partnership,0,0
2008,Male,Partnership dissolved,0,0
2008,Female,Single,0,138
2008,Female,Married,0,0
2008,Female,Widowed,0,0
2008,Female,Divorced,0,0
2008,Female,Unmarried,0,0
2008,Female,In a registered partnership,0,0
2008,Female,Partnership dissolved,0,0
2009,Male,Single,0,185
2009,Male,Married,0,0
2009,Male,Widowed,0,0
2009,Male,Divorced,0,0
2009,Male,Unmarried,0,0
2009,Male,In a registered partnership,0,0
2009,Male,Partnership dissolved,0,0
2009,Female,Single,0,132
2009,Female,Married,0,0
2009,Female,Widowed,0,0
2009,Female,Divorced,0,0
2009,Female,Unmarried,0,0
2009,Female,In a registered partnership,0,0
2009,Female,Partnership dissolved,0,0
2010,Male,Single,0,141
2010,Male,Married,0,0
2010,Male,Widowed,0,0
2010,Male,Divorced,0,0
2010,Male,Unmarried,0,0
2010,Male,In a registered partnership,0,0
2010,Male,Partnership dissolved,0,0
2010,Female,Single,0,139
2010,Female,Married,0,0
2010,Female,Widowed,0,0
2010,Female,Divorced,0,0
2010,Female,Unmarried,0,0
2010,Female,In a registered partnership,0,0
2010,Female,Partnership dissolved,0,0
2011,Male,Single,0,155
2011,Male,Married,0,0
2011,Male,Widowed,0,0
2011,Male,Divorced,0,0
2011,Male,Unmarried,0,0
2011,Male,In a registered partnership,0,0
2011,Male,Partnership dissolved,0,0
2011,Female,Single,0,128
2011,Female,Married,0,0
2011,Female,Widowed,0,0
2011,Female,Divorced,0,0
2011,Female,Unmarried,0,0
2011,Female,In a registered partnership,0,0
2011,Female,Partnership dissolved,0,0
2012,Male,Single,0,141
2012,Male,Married,0,0
2012,Male,Widowed,0,0
2012,Male,Divorced,0,0
2012,Male,Unmarried,0,0
2012,Male,In a registered partnership,0,0
2012,Male,Partnership dissolved,0,0
2012,Female,Single,0,131
2012,Female,Married,0,0
2012,Female,Widowed,0,0
2012,Female,Divorced,0,0
2012,Female,Unmarried,0,0
2012,Female,In a registered partnership,0,0
2012,Female,Partnership dissolved,0,0
2013,Male,Single,0,169
2013,Male,Married,0,0
2013,Male,Widowed,0,0
2013,Male,Divorced,0,0
2013,Male,Unmarried,0,0
2013,Male,In a registered partnership,0,0
2013,Male,Partnership dissolved,0,0
2013,Female,Single,0,130
2013,Female,Married,0,0
2013,Female,Widowed,0,0
2013,Female,Divorced,0,0
2013,Female,Unmarried,0,0
2013,Female,In a registered partnership,0,0
2013,Female,Partnership dissolved,0,0
2014,Male,Single,0,176
2014,Male,Married,0,0
2014,Male,Widowed,0,0
2014,Male,Divorced,0,0
2014,Male,Unmarried,0,0
2014,Male,In a registered partnership,0,0
2014,Male,Partnership dissolved,0,0
2014,Female,Single,0,127
2014,Female,Married,0,0
2014,Female,Widowed,0,0
2014,Female,Divorced,0,0
2014,Female,Unmarried,0,0
2014,Female,In a registered partnership,0,0
2014,Female,Partnership dissolved,0,0
2015,Male,Single,0,175
2015,Male,Married,0,0
2015,Male,Widowed,0,0
2015,Male,Divorced,0,0
2015,Male,Unmarried,0,0
2015,Male,In a registered partnership,0,0
2015,Male,Partnership dissolved,0,0
2015,Female,Single,0,137
2015,Female,Married,0,0
2015,Female,Widowed,0,0
2015,Female,Divorced,0,0
2015,Female,Unmarried,0,0
2015,Female,In a registered partnership,0,0
2015,Female,Partnership dissolved,0,0
2016,Male,Single,0,144
2016,Male,Married,0,0
2016,Male,Widowed,0,0
2016,Male,Divorced,0,0
2016,Male,Unmarried,0,0
2016,Male,In a registered partnership,0,0
2016,Male,Partnership dissolved,0,0
2016,Female,Single,0,151
2016,Female,Married,0,0
2016,Female,Widowed,0,0
2016,Female,Divorced,0,0
2016,Female,Unmarried,0,0
2016,Female,In a registered partnership,0,0
2016,Female,Partnership dissolved,0,0
2017,Male,Single,0,169
2017,Male,Married,0,0
2017,Male,Widowed,0,0
2017,Male,Divorced,0,0
2017,Male,Unmarried,0,0
2017,Male,In a registered partnership,0,0
2017,Male,Partnership dissolved,0,0
2017,Female,Single,0,117
2017,Female,Married,0,0
