Year,Sex,Age,Population
2004,Male,0,0
2004,Male,1,36701
2004,Male,2,37374
2004,Male,3,37569
2004,Male,4,37949
2004,Male,5,39631
2004,Male,6,40295
2004,Male,7,41098
2004,Male,8,42496
2004,Male,9,42084
2004,Male,10,42954
2004,Male,11,43512
2004,Male,12,45312
2004,Male,13,45818
2004,Male,14,45625
2004,Male,15,44915
2004,Male,16,45099
2004,Male,17,43576
2004,Male,18,43580
2004,Male,19,43185
2004,Male,20,43973
2004,Male,21,43245
2004,Male,22,43853
2004,Male,23,44068
2004,Male,24,44215
2004,Male,25,43969
2004,Male,26,44224
2004,Male,27,45238
2004,Male,28,45457
2004,Male,29,46537
2004,Male,30,48676
2004,Male,31,49902
2004,Male,32,52284
2004,Male,33,54605
2004,Male,34,55903
2004,Male,35,57936
2004,Male,36,60071
2004,Male,37,61151
2004,Male,38,63373
2004,Male,39,64542
2004,Male,40,65822
2004,Male,41,64292
2004,Male,42,62374
2004,Male,43,60397
2004,Male,44,59308
2004,Male,45,58008
2004,Male,46,56731
2004,Male,47,55730
2004,Male,48,54840
2004,Male,49,52579
2004,Male,50,51027
2004,Male,51,49442
2004,Male,52,49484
2004,Male,53,47763
2004,Male,54,49457
2004,Male,55,48664
2004,Male,56,49026
2004,Male,57,48251
2004,Male,58,48064
2004,Male,59,46400
2004,Male,60,45208
2004,Male,61,43316
2004,Male,62,41259
2004,Male,63,37829
2004,Male,64,34528
2004,Male,65,33479
2004,Male,66,32057
2004,Male,67,30310
2004,Male,68,30062
2004,Male,69,29485
2004,Male,70,28498
2004,Male,71,26753
2004,Male,72,26203
2004,Male,73,25015
2004,Male,74,24119
2004,Male,75,22487
2004,Male,76,21233
2004,Male,77,20008
2004,Male,78,18990
2004,Male,79,17948
2004,Male,80,16350
2004,Male,81,15600
2004,Male,82,13952
2004,Male,83,13379
2004,Male,84,11840
2004,Male,85,8999
2004,Male,86,7764
2004,Male,87,6633
2004,Male,88,5819
2004,Male,89,4901
2004,Male,90,4520
2004,Male,91,3618
2004,Male,92,2861
2004,Male,93,2020
2004,Male,94,1559
2004,Male,95,1135
2004,Male,96,800
2004,Male,97,519
2004,Male,98,345
2004,Male,99,484
2004,Female,0,0
2004,Female,1,34819
2004,Female,2,35074
