hid,htype,nbcars_agg,hsize,age_discrete,gender,marital_status,employment,driving_licence,age,role
0,10,1,1,6,2,3,4,1,66,1
1,10,1,1,6,2,3,1,1,71,1
2,10,0,1,6,2,3,1,2,75,1
3,10,0,1,6,2,3,1,2,82,1
4,10,0,1,6,2,3,4,2,93,1
5,10,0,1,6,2,3,4,2,80,1
6,10,0,1,6,2,3,4,2,81,1
7,10,0,1,6,2,3,4,2,65,1
8,10,0,1,6,2,3,4,2,77,1
9,10,0,1,6,2,3,4,2,80,1
10,10,0,1,6,2,3,4,2,70,1
11,10,0,1,6,2,3,4,2,77,1
12,10,0,1,6,2,3,4,2,80,1
13,10,0,1,6,2,3,4,2,87,1
14,10,0,1,6,2,3,4,2,94,1
15,10,0,1,6,2,3,4,2,79,1
16,10,0,1,6,2,2,4,2,87,1
17,10,0,1,6,2,2,4,2,94,1
18,10,0,1,6,2,2,4,2,73,1
19,10,2,1,5,2,2,4,1,58,1
20,10,2,1,5,2,2,4,1,50,1
21,10,1,1,5,2,2,4,1,57,1
22,10,1,1,6,2,2,4,1,78,1
23,10,1,1,6,2,3,4,1,82,1
24,10,0,1,6,2,3,4,1,81,1
25,10,1,1,6,2,3,4,1,82,1
26,10,0,1,6,2,3,4,1,85,1
27,10,1,1,6,2,3,4,1,78,1
28,10,0,1,6,2,3,4,2,82,1
29,10,0,1,6,2,3,4,1,92,1
30,10,2,1,6,2,3,4,1,79,1
31,10,2,1,6,2,3,1,1,85,1
32,10,0,1,6,2,3,1,1,67,1
33,10,1,1,6,2,3,1,1,89,1
34,10,0,1,6,2,3,1,1,67,1
35,10,2,1,6,2,3,4,1,76,1
36,10,2,1,6,2,3,4,1,86,1
37,10,1,1,6,2,3,4,1,87,1
38,10,1,1,6,2,3,4,1,76,1
39,10,1,1,6,2,3,4,1,80,1
40,10,1,1,6,2,3,4,1,68,1
41,10,1,1,6,2,3,4,1,82,1
42,10,1,1,6,2,1,4,1,69,1
43,10,1,1,6,2,1,4,1,83,1
44,10,1,1,6,2,1,4,1,82,1
45,10,0,1,6,1,1,4,1,72,1
46,10,2,1,6,1,1,4,1,81,1
47,10,0,1,6,1,3,4,1,80,1
48,10,1,1,6,1,3,4,1,74,1
49,10,1,1,6,1,3,4,1,89,1
50,10,2,1,6,1,3,4,1,71,1
51,10,0,1,6,1,3,4,1,69,1
52,10,1,1,6,1,3,4,1,66,1
53,10,1,1,6,1,3,4,1,81,1
54,10,1,1,6,1,3,4,1,82,1
55,10,1,1,6,1,3,4,1,83,1
56,10,1,1,6,2,3,4,1,71,1
57,10,1,1,6,2,3,4,1,81,1
58,10,1,1,6,2,3,4,1,86,1
59,10,1,1,6,2,3,4,1,83,1
60,10,1,1,6,2,3,4,1,83,1
61,10,1,1,6,2,3,4,1,81,1
62,10,1,1,6,2,3,4,1,85,1
63,10,0,1,6,2,3,4,1,81,1
