hid,htype,nbcars_agg,hsize,age_discrete,gender,marital_status,employment,driving_licence
0,10,1,1,5,2,4,4,1
1,10,1,1,5,2,1,4,1
2,10,1,1,5,2,1,4,1
3,10,1,1,5,2,1,4,1
4,10,1,1,5,2,1,4,1
5,10,1,1,5,2,4,1,1
6,10,0,1,5,2,4,2,1
7,10,0,1,5,2,4,2,1
8,10,1,1,5,2,4,1,1
9,10,0,1,4,2,1,1,1
10,10,0,1,4,2,1,1,1
11,10,1,1,4,2,1,1,1
12,10,1,1,4,2,1,1,1
13,10,1,1,4,2,1,1,1
14,10,0,1,4,1,1,1,1
15,10,0,1,4,1,1,1,1
16,10,0,1,4,1,1,1,1
17,10,1,1,4,1,1,1,1
18,10,2,1,4,1,1,1,1
19,10,2,1,4,1,1,1,1
20,10,0,1,4,1,1,1,1
21,10,0,1,4,1,1,1,1
22,10,0,1,4,1,1,1,1
23,10,1,1,4,1,1,1,1
24,10,0,1,4,2,1,1,1
25,10,2,1,4,2,1,1,1
26,10,2,1,4,2,1,1,1
27,10,1,1,4,1,1,1,1
28,10,1,1,4,1,1,1,1
29,10,0,1,4,1,1,1,1
30,10,0,1,4,1,1,1,1
31,10,0,1,4,1,1,1,2
32,10,0,1,4,1,1,1,2
33,10,0,1,4,1,1,1,1
34,10,1,1,5,1,1,1,1
35,10,1,1,5,1,1,1,1
36,10,1,1,5,1,1,1,1
37,10,1,1,4,2,1,1,1
38,10,1,1,4,2,1,1,1
39,10,0,1,4,2,1,1,1
40,10,1,1,4,2,1,1,1
41,10,1,1,4,2,1,1,1
42,10,1,1,4,2,1,1,1
43,10,0,1,4,2,1,1,1
44,10,1,1,4,2,1,1,1
45,10,1,1,4,2,1,1,1
46,10,0,1,4,2,1,1,1
47,10,0,1,4,1,1,1,1
48,10,0,1,5,2,1,1,1
49,10,0,1,5,1,1,1,1
50,10,1,1,4,1,1,1,1
51,10,1,1,4,1,1,1,1
52,10,1,1,4,1,1,1,1
53,10,1,1,4,2,1,1,1
54,10,1,1,4,2,1,1,1
55,10,1,1,4,2,1,1,1
56,10,1,1,4,2,1,1,1
57,10,0,1,4,2,1,1,1
58,10,1,1,4,2,1,1,1
59,10,1,1,4,2,1,1,1
60,10,1,1,4,2,1,1,1
61,10,1,1,5,2,1,1,1
62,10,0,1,5,2,1,1,1
63,10,1,1,5,2,1,1,1
64,10,0,1,5,2,1,1,1
65,10,0,1,5,2,1,1,1
66,10,1,1,5,2,1,1,1
67,10,1,1,5,2,1,1,1
68,10,1,1,4,2,1,1,1
69,10,1,1,4,2,1,1,1
70,10,1,1,4,2,1,1,1
71,10,1,1,4,2,1,1,1
72,10,0,1,4,2,1,1,2
73,10,1,1,4,2,1,1,2
74,10,1,1,4,2,1,1,2
75,10,1,1,4,2,1,1,1
76,10,0,1,4,2,1,1,1
77,10,0,1,4,1,1,1,1
78,10,1,1,4,2,1,1,1
79,10,1,1,4,2,1,1,1
80,10,1,1,4,1,1,1,1
81,10,1,1,4,1,1,1,1
82,10,1,1,5,1,1,1,1
83,10,1,1,4,1,1,1,1
84,10,1,1,4,1,1,1,1
85,10,1,1,4,2,1,1,1
86,10,1,1,4,1,1,1,1
87,10,1,1,4,1,1,1,1
88,10,0,1,4,1,1,1,1
89,10,0,1,5,1,1,1,1
90,10,1,1,5,1,1,1,1
91,10,0,1,4,1,1,1,1
92,10,2,1,4,1,1,1,1
93,10,0,1,4,1,1,1,1
94,10,0,1,4,2,1,1,1
95,10,1,1,4,2,1,1,1
96,10,0,1,4,2,1,1,1
97,10,0,1,4,2,1,1,1
98,10,1,1,4,2,1,1,1
99,10,1,1,4,2,1,1,1
100,10,0,1,4,2,1,1,1
101,10,1,1,4,2,1,1,1
102,10,0,1,4,2,1,1,1
103,10,0,1,5,2,1,1,2
104,10,1,1,5,2,1,1,2
105,10,0,1,5,2,4,1,2
106,10,0,1,5,2,4,1,1
107,10,1,1,5,2,4,1,1
108,10,1,1,5,2,4,1,1
109,10,0,1,5,2,1,1,1
110,10,0,1,5,2,4,1,1
111,10,1,1,5,2,4,1,1
112,10,1,1,5,2,4,1,1
113,10,0,1,5,2,4,1,1
114,10,0,1,6,1,4,1,1
115,10,0,1,5,1,4,1,2
116,10,0,1,5,1,4,4,2
117,10,0,1,5,1,4,4,2
118,10,0,1,5,1,4,4,1
119,10,1,1,5,1,4,4,1
120,10,1,1,6,1,4,4,1
121,10,1,1,6,1,4,4,1
122,10,1,1,6,1,3,4,1
123,10,1,1,6,1,3,4,1
124,10,1,1,6,2,3,4,1
125,10,1,1,6,2,1,4,1
126,10,0,1,6,2,1,4,1
127,10,0,1,6,2,1,4,2
128,10,0,1,6,2,1,4,2
129,10,0,1,6,1,1,4,2
130,10,1,1,6,1,1,4,2
131,10,0,1,4,1,1,1,1
132,10,0,1,4,1,1,1,2
133,10,0,1,4,1,1,1,2
134,10,0,1,4,1,1,1,2
135,10,0,1,4,1,1,1,2
136,10,1,1,4,1,1,1,2
137,10,1,1,4,1,1,1,2
138,10,1,1,4,1,1,1,1
139,10,1,1,4,1,1,1,1
140,10,1,1,4,1,1,1,1
141,10,0,1,4,1,1,1,1
142,10,0,1,4,1,1,1,1
143,10,1,1,4,1,1,1,1
144,10,1,1,4,1,1,1,1
145,10,1,1,4,2,1,1,1
146,10,1,1,4,2,1,1,1
147,10,1,1,4,2,1,1,1
148,10,0,1,4,2,1,1,1
149,10,0,1,3,2,1,1,2
150,10,1,1,3,2,1,1,2
151,10,1,1,4,2,1,1,2
152,10,1,1,4,2,1,1,2
153,10,0,1,4,2,1,1,2
154,10,0,1,4,2,1,1,2
155,10,1,1,4,2,1,1,2
156,10,0,1,4,2,1,1,2
157,10,1,1,4,2,1,1,2
158,10,0,1,4,2,1,1,1
159,10,0,1,4,2,1,1,2
160,10,0,1,4,2,1,1,2
161,10,1,1,4,2,1,1,1
162,10,1,1,4,2,1,1,1
163,10,1,1,5,2,1,1,1
164,10,1,1,5,2,1,1,1
165,10,0,1,5,2,1,2,1
166,10,1,1,5,2,4,2,1
167,10,1,1,5,2,4,2,1
168,10,2,1,5,1,4,1,1
169,10,1,1,6,1,4,1,1
170,10,1,1,6,1,3,1,1
171,10,1,1,6,1,3,1,1
172,10,1,1,6,1,3,1,1
173,10,1,1,6,2,3,1,1
174,10,0,1,6,2,3,1,2
175,10,0,1,6,2,3,1,2
176,10,1,1,6,2,3,4,1
177,10,0,1,6,2,3,4,1
178,10,0,1,6,2,3,4,1
179,10,0,1,6,2,4,4,1
180,10,2,1,6,2,3,4,1
181,10,1,1,6,2,3,4,1
182,10,1,1,6,1,3,4,1
183,10,0,1,6,1,3,4,1
184,10,2,1,6,1,3,4,1
185,10,2,1,6,1,4,4,1
186,10,0,1,6,1,4,4,1
187,10,0,1,6,1,3,4,2
188,10,0,1,6,1,3,4,2
189,10,1,1,6,1,1,4,2
190,10,1,1,6,2,1,4,1
191,10,1,1,6,2,1,4,1
192,10,1,1,6,2,1,4,1
193,10,1,1,6,2,4,4,1
194,10,0,1,6,2,3,4,1
195,10,3,1,6,2,3,4,1
196,10,3,1,5,2,3,4,1
197,10,1,1,6,2,3,4,1
198,10,1,1,6,2,3,4,1
199,10,0,1,6,2,3,4,1
200,10,1,1,6,2,3,4,1
201,10,1,1,6,2,3,4,1
202,10,0,1,6,2,3,4,1
203,10,0,1,6,2,3,4,1
204,10,0,1,6,2,3,4,2
205,10,1,1,6,2,3,4,1
206,10,0,1,6,2,3,4,1
207,10,1,1,6,1,3,4,1
208,10,1,1,6,1,3,4,1
209,10,0,1,6,1,3,4,1
210,10,0,1,6,2,3,4,1
211,10,1,1,6,2,3,4,2
212,10,0,1,6,2,3,4,2
213,10,0,1,6,2,3,1,2
214,10,0,1,6,2,1,4,2
215,10,0,1,6,2,3,4,1
216,10,0,1,6,2,3,4,1
217,10,1,1,6,2,3,4,1
218,10,0,1,6,2,3,4,1
219,10,1,1,6,2,3,4,1
220,10,1,1,6,2,1,4,1
221,10,1,1,6,2,3,4,1
222,10,0,1,6,2,3,4,1
223,10,0,1,6,2,3,4,2
224,10,0,1,6,2,3,4,2
225,10,0,1,6,2,3,4,2
226,10,1,1,6,2,3,4,2
227,10,1,1,6,2,3,4,1
228,10,0,1,6,2,3,4,1
229,10,0,1,6,2,3,4,2
230,10,1,1,6,2,3,4,2
231,10,1,1,6,2,3,4,2
232,10,1,1,6,2,3,4,2
233,10,1,1,6,2,3,4,2
234,10,0,1,6,2,3,4,2
235,10,1,1,6,2,3,4,2
236,10,0,1,6,2,3,4,2
237,10,0,1,6,2,3,4,2
238,10,1,1,6,2,3,4,2
239,10,1,1,6,2,3,4,2
240,10,1,1,6,2,3,4,2
241,10,1,1,6,2,3,4,2
242,10,1,1,6,2,3,4,1
243,10,1,1,6,2,3,4,1
244,10,1,1,6,2,3,4,1
245,10,1,1,6,2,3,4,1
246,10,0,1,6,2,3,4,1
247,10,1,1,6,2,3,4,1
248,10,0,1,6,2,3,4,1
249,10,1,1,6,2,4,4,1
250,10,0,1,6,2,3,1,1
251,10,1,1,5,1,3,1,1
252,10,1,1,4,1,2,1,1
253,10,1,1,4,1,1,3,1
254,10,1,1,4,1,1,3,1
255,10,0,1,5,2,1,2,1
256,10,0,1,4,2,1,1,1
257,10,1,1,4,2,1,1,1
258,10,0,1,5,2,1,1,1
259,10,1,1,5,2,1,1,1
260,10,1,1,5,2,1,1,1
261,10,0,1,5,2,2,1,1
262,10,0,1,4,2,2,1,1
263,10,1,1,5,2,2,2,1
264,10,2,1,5,2,2,2,1
265,10,1,1,5,1,2,2,1
266,10,0,1,5,1,2,2,1
267,10,1,1,5,1,2,3,1
268,10,0,1,5,1,2,3,1
269,10,1,1,5,1,2,3,2
270,10,1,1,5,1,2,3,2
271,10,1,1,5,2,2,3,2
272,10,0,1,5,2,2,1,2
273,10,0,1,5,2,2,1,2
274,10,1,1,5,2,2,1,2
275,10,1,1,4,2,1,1,2
276,10,1,1,6,2,3,1,2
277,10,1,1,5,2,3,1,2
278,10,0,1,5,2,3,4,2
279,10,1,1,5,2,3,4,2
280,10,1,1,5,2,3,1,2
281,10,1,1,5,2,3,1,1
282,10,0,1,5,2,3,1,1
283,10,1,1,5,2,3,1,2
284,10,1,1,5,2,1,1,1
285,10,1,1,4,2,1,1,1
286,10,1,1,4,2,1,1,1
287,10,1,1,4,2,1,1,1
288,10,1,1,4,2,1,1,1
289,10,1,1,4,2,1,1,1
290,10,1,1,5,2,1,1,1
291,10,1,1,5,2,4,1,1
292,10,0,1,5,2,4,1,2
293,10,0,1,5,2,4,1,2
294,10,0,1,5,2,4,1,2
295,10,1,1,5,2,4,1,2
296,10,0,1,5,2,4,1,1
297,10,1,1,5,2,4,1,1
298,10,1,1,5,2,2,1,1
299,10,1,1,5,2,4,1,1
300,10,1,1,5,2,4,1,1
301,10,1,1,5,2,4,1,1
302,10,1,1,5,2,4,1,1
303,10,0,1,6,2,4,1,1
304,10,0,1,6,2,3,1,1
305,10,0,1,6,2,3,1,1
306,10,1,1,5,2,3,1,1
307,10,1,1,5,2,3,1,1
308,10,0,1,5,2,3,1,1
309,10,0,1,5,2,3,1,1
310,10,0,1,5,2,4,2,1
311,10,0,1,5,2,4,2,1
312,10,0,1,5,2,4,2,1
313,10,1,1,5,2,2,2,2
314,10,1,1,5,2,2,2,1
315,10,1,1,5,2,2,2,1
316,10,2,1,5,2,2,2,1
317,10,1,1,5,2,2,2,1
318,10,0,1,5,2,1,2,1
319,10,1,1,5,2,4,2,1
320,10,1,1,5,2,4,2,1
321,10,0,1,5,1,4,2,2
322,10,0,1,4,1,4,2,1
323,10,2,1,4,2,4,2,1
324,10,0,1,4,2,1,2,1
325,10,0,1,5,1,1,2,1
326,10,1,1,5,1,1,2,1
327,10,3,1,4,1,1,1,1
328,10,0,1,4,1,1,1,1
329,10,0,1,4,1,1,1,1
330,10,0,1,4,1,1,1,1
331,10,1,1,4,2,1,1,1
332,10,1,1,4,2,1,1,1
333,10,1,1,4,2,1,1,1
334,10,1,1,4,2,1,2,1
335,10,1,1,5,2,1,2,1
336,10,1,1,5,2,1,2,1
337,10,1,1,5,2,4,2,1
338,10,1,1,5,2,1,2,1
339,10,1,1,5,2,4,2,1
340,10,1,1,5,2,4,1,1
341,10,0,1,5,2,4,1,1
342,10,0,1,5,1,4,1,1
343,10,0,1,6,1,4,1,1
344,10,0,1,6,1,3,1,1
345,10,0,1,6,1,3,1,1
346,10,0,1,6,1,3,4,1
347,10,0,1,6,1,3,4,2
348,10,0,1,6,1,3,4,2
349,10,0,1,6,1,3,4,2
350,10,1,1,6,1,3,4,2
351,10,1,1,6,1,3,4,2
352,10,1,1,3,1,3,1,2
353,10,0,1,4,1,1,1,2
354,10,0,1,4,1,1,1,2
355,10,0,1,4,1,1,1,2
356,10,1,1,6,1,1,1,1
357,10,1,1,4,1,1,1,1
358,10,0,1,4,1,1,1,1
359,10,1,1,4,1,1,1,1
360,10,1,1,4,1,1,1,1
361,10,0,1,4,1,1,1,1
362,10,1,1,4,1,1,1,1
363,10,1,1,4,1,1,1,1
364,10,1,1,4,1,1,1,1
365,10,1,1,4,1,1,1,1
366,10,1,1,4,1,1,1,1
367,10,0,1,4,1,1,1,1
368,10,2,1,4,1,1,1,1
369,10,1,1,4,1,1,1,1
370,10,1,1,4,1,1,1,1
371,10,1,1,4,1,1,1,1
372,10,0,1,5,1,4,1,1
373,10,0,1,5,1,4,1,1
374,10,1,1,5,1,4,1,2
375,10,0,1,5,1,4,1,2
376,10,1,1,5,1,4,1,1
377,10,1,1,5,1,4,1,1
378,10,1,1,5,1,4,1,1
379,10,0,1,5,1,1,1,2
380,10,0,1,5,1,1,1,1
381,10,0,1,5,1,4,1,1
382,10,0,1,5,1,4,1,1
383,10,0,1,5,1,4,1,1
384,10,0,1,5,1,4,1,1
385,10,1,1,5,1,4,1,1
386,10,1,1,5,2,4,1,1
387,10,1,1,5,2,4,1,1
388,10,0,1,5,2,4,1,1
389,10,1,1,5,2,4,1,1
390,10,1,1,5,1,4,1,1
391,10,1,1,5,1,4,1,1
392,10,0,1,5,1,4,1,1
393,10,0,1,5,1,1,1,1
394,10,1,1,4,1,1,1,1
395,10,1,1,4,1,1,1,1
396,10,0,1,4,1,1,1,1
397,10,0,1,4,1,1,1,1
398,10,1,1,4,1,2,1,1
399,10,0,1,4,1,2,1,1
400,10,1,1,4,1,2,2,1
401,10,1,1,4,1,2,2,1
402,10,1,1,5,1,2,2,1
403,10,1,1,5,1,2,2,1
404,10,1,1,5,1,1,1,1
405,10,1,1,5,1,1,1,1
