hid,htype,nbcars_agg,hsize,age_discrete,gender,marital_status,employment,driving_licence,age,role,nind
0,10,1,1,5,2,4,4,1,55,1,1
1,10,1,1,5,2,1,4,1,56,1,1
2,10,1,1,5,2,1,4,1,55,1,1
3,10,1,1,5,2,1,4,1,56,1,1
4,10,1,1,5,2,1,4,1,62,1,1
5,10,1,1,5,2,4,1,1,52,1,1
6,10,0,1,5,2,4,2,1,45,1,1
7,10,0,1,5,2,4,2,1,46,1,1
8,10,1,1,5,2,4,1,1,47,1,1
9,10,0,1,4,2,1,1,1,33,1,1
10,10,0,1,4,2,1,1,1,39,1,1
11,10,1,1,4,2,1,1,1,29,1,1
12,10,1,1,4,2,1,1,1,38,1,1
13,10,1,1,4,2,1,1,1,32,1,1
14,10,0,1,4,1,1,1,1,42,1,1
15,10,0,1,4,1,1,1,1,40,1,1
16,10,0,1,4,1,1,1,1,25,1,1
17,10,1,1,4,1,1,1,1,29,1,1
18,10,2,1,4,1,1,1,1,25,1,1
19,10,2,1,4,1,1,1,1,37,1,1
20,10,0,1,4,1,1,1,1,32,1,1
21,10,0,1,4,1,1,1,1,30,1,1
22,10,0,1,4,1,1,1,1,37,1,1
23,10,1,1,4,1,1,1,1,33,1,1
24,10,0,1,4,2,1,1,1,29,1,1
25,10,2,1,4,2,1,1,1,25,1,1
26,10,2,1,4,2,1,1,1,34,1,1
27,10,1,1,4,1,1,1,1,38,1,1
28,10,1,1,4,1,1,1,1,29,1,1
29,10,0,1,4,1,1,1,1,33,1,1
30,10,0,1,4,1,1,1,1,38,1,1
31,10,0,1,4,1,1,1,2,32,1,1
32,10,0,1,4,1,1,1,2,39,1,1
33,10,0,1,4,1,1,1,1,34,1,1
34,10,1,1,5,1,1,1,1,48,1,1
35,10,1,1,5,1,1,1,1,50,1,1
36,10,1,1,5,1,1,1,1,57,1,1
37,10,1,1,4,2,1,1,1,33,1,1
38,10,1,1,4,2,1,1,1,33,1,1
39,10,0,1,4,2,1,1,1,41,1,1
40,10,1,1,4,2,1,1,1,39,1,1
41,10,1,1,4,2,1,1,1,30,1,1
42,10,1,1,4,2,1,1,1,42,1,1
43,10,0,1,4,2,1,1,1,32,1,1
44,10,1,1,4,2,1,1,1,41,1,1
45,10,1,1,4,2,1,1,1,28,1,1
46,10,0,1,4,2,1,1,1,24,1,1
47,10,0,1,4,1,1,1,1,39,1,1
48,10,0,1,5,2,1,1,1,58,1,1
49,10,0,1,5,1,1,1,1,45,1,1
50,10,1,1,4,1,1,1,1,30,1,1
51,10,1,1,4,1,1,1,1,31,1,1
52,10,1,1,4,1,1,1,1,42,1,1
53,10,1,1,4,2,1,1,1,32,1,1
54,10,1,1,4,2,1,1,1,33,1,1
55,10,1,1,4,2,1,1,1,39,1,1
56,10,1,1,4,2,1,1,1,40,1,1
57,10,0,1,4,2,1,1,1,26,1,1
58,10,1,1,4,2,1,1,1,38,1,1
59,10,1,1,4,2,1,1,1,41,1,1
60,10,1,1,4,2,1,1,1,26,1,1
61,10,1,1,5,2,1,1,1,55,1,1
62,10,0,1,5,2,1,1,1,48,1,1
63,10,1,1,5,2,1,1,1,64,1,1
64,10,0,1,5,2,1,1,1,44,1,1
65,10,0,1,5,2,1,1,1,44,1,1
66,10,1,1,5,2,1,1,1,61,1,1
67,10,1,1,5,2,1,1,1,60,1,1
68,10,1,1,4,2,1,1,1,24,1,1
69,10,1,1,4,2,1,1,1,39,1,1
70,10,1,1,4,2,1,1,1,39,1,1
71,10,1,1,4,2,1,1,1,41,1,1
72,10,0,1,4,2,1,1,2,33,1,1
73,10,1,1,4,2,1,1,2,27,1,1
74,10,1,1,4,2,1,1,2,42,1,1
75,10,1,1,4,2,1,1,1,40,1,1
76,10,0,1,4,2,1,1,1,34,1,1
77,10,0,1,4,1,1,1,1,28,1,1
78,10,1,1,4,2,1,1,1,39,1,1
79,10,1,1,4,2,1,1,1,36,1,1
80,10,1,1,4,1,1,1,1,38,1,1
81,10,1,1,4,1,1,1,1,38,1,1
82,10,1,1,5,1,1,1,1,59,1,1
83,10,1,1,4,1,1,1,1,34,1,1
84,10,1,1,4,1,1,1,1,24,1,1
85,10,1,1,4,2,1,1,1,34,1,1
86,10,1,1,4,1,1,1,1,27,1,1
87,10,1,1,4,1,1,1,1,36,1,1
88,10,0,1,4,1,1,1,1,32,1,1
89,10,0,1,5,1,1,1,1,54,1,1
90,10,1,1,5,1,1,1,1,61,1,1
91,10,0,1,4,1,1,1,1,42,1,1
92,10,2,1,4,1,1,1,1,37,1,1
93,10,0,1,4,1,1,1,1,30,1,1
94,10,0,1,4,2,1,1,1,31,1,1
95,10,1,1,4,2,1,1,1,35,1,1
96,10,0,1,4,2,1,1,1,30,1,1
97,10,0,1,4,2,1,1,1,25,1,1
98,10,1,1,4,2,1,1,1,26,1,1
99,10,1,1,4,2,1,1,1,24,1,1
100,10,0,1,4,2,1,1,1,24,1,1
101,10,1,1,4,2,1,1,1,42,1,1
102,10,0,1,4,2,1,1,1,34,1,1
103,10,0,1,5,2,1,1,2,61,1,1
104,10,1,1,5,2,1,1,2,55,1,1
105,10,0,1,5,2,4,1,2,55,1,1
106,10,0,1,5,2,4,1,1,46,1,1
107,10,1,1,5,2,4,1,1,47,1,1
108,10,1,1,5,2,4,1,1,48,1,1
109,10,0,1,5,2,1,1,1,44,1,1
110,10,0,1,5,2,4,1,1,58,1,1
111,10,1,1,5,2,4,1,1,44,1,1
112,10,1,1,5,2,4,1,1,44,1,1
113,10,0,1,5,2,4,1,1,62,1,1
114,10,0,1,6,1,4,1,1,91,1,1
115,10,0,1,5,1,4,1,2,49,1,1
116,10,0,1,5,1,4,4,2,64,1,1
117,10,0,1,5,1,4,4,2,57,1,1
118,10,0,1,5,1,4,4,1,60,1,1
119,10,1,1,5,1,4,4,1,62,1,1
120,10,1,1,6,1,4,4,1,66,1,1
121,10,1,1,6,1,4,4,1,69,1,1
122,10,1,1,6,1,3,4,1,90,1,1
123,10,1,1,6,1,3,4,1,76,1,1
124,10,1,1,6,2,3,4,1,73,1,1
125,10,1,1,6,2,1,4,1,78,1,1
126,10,0,1,6,2,1,4,1,65,1,1
127,10,0,1,6,2,1,4,2,80,1,1
128,10,0,1,6,2,1,4,2,76,1,1
129,10,0,1,6,1,1,4,2,85,1,1
130,10,1,1,6,1,1,4,2,76,1,1
131,10,0,1,4,1,1,1,1,24,1,1
132,10,0,1,4,1,1,1,2,24,1,1
133,10,0,1,4,1,1,1,2,28,1,1
134,10,0,1,4,1,1,1,2,37,1,1
135,10,0,1,4,1,1,1,2,38,1,1
136,10,1,1,4,1,1,1,2,26,1,1
137,10,1,1,4,1,1,1,2,30,1,1
138,10,1,1,4,1,1,1,1,24,1,1
139,10,1,1,4,1,1,1,1,25,1,1
140,10,1,1,4,1,1,1,1,27,1,1
141,10,0,1,4,1,1,1,1,29,1,1
142,10,0,1,4,1,1,1,1,25,1,1
143,10,1,1,4,1,1,1,1,35,1,1
144,10,1,1,4,1,1,1,1,34,1,1
145,10,1,1,4,2,1,1,1,42,1,1
146,10,1,1,4,2,1,1,1,37,1,1
147,10,1,1,4,2,1,1,1,39,1,1
148,10,0,1,4,2,1,1,1,27,1,1
149,10,0,1,3,2,1,1,2,19,1,1
150,10,1,1,3,2,1,1,2,19,1,1
151,10,1,1,4,2,1,1,2,24,1,1
152,10,1,1,4,2,1,1,2,40,1,1
153,10,0,1,4,2,1,1,2,24,1,1
154,10,0,1,4,2,1,1,2,29,1,1
155,10,1,1,4,2,1,1,2,34,1,1
156,10,0,1,4,2,1,1,2,33,1,1
157,10,1,1,4,2,1,1,2,41,1,1
158,10,0,1,4,2,1,1,1,24,1,1
159,10,0,1,4,2,1,1,2,32,1,1
160,10,0,1,4,2,1,1,2,37,1,1
161,10,1,1,4,2,1,1,1,28,1,1
162,10,1,1,4,2,1,1,1,28,1,1
163,10,1,1,5,2,1,1,1,44,1,1
164,10,1,1,5,2,1,1,1,56,1,1
165,10,0,1,5,2,1,2,1,49,1,1
166,10,1,1,5,2,4,2,1,56,1,1
167,10,1,1,5,2,4,2,1,58,1,1
168,10,2,1,5,1,4,1,1,54,1,1
169,10,1,1,6,1,4,1,1,70,1,1
170,10,1,1,6,1,3,1,1,68,1,1
171,10,1,1,6,1,3,1,1,76,1,1
172,10,1,1,6,1,3,1,1,71,1,1
173,10,1,1,6,2,3,1,1,91,1,1
174,10,0,1,6,2,3,1,2,85,1,1
175,10,0,1,6,2,3,1,2,80,1,1
176,10,1,1,6,2,3,4,1,89,1,1
177,10,0,1,6,2,3,4,1,90,1,1
178,10,0,1,6,2,3,4,1,85,1,1
179,10,0,1,6,2,4,4,1,78,1,1
180,10,2,1,6,2,3,4,1,70,1,1
181,10,1,1,6,2,3,4,1,82,1,1
182,10,1,1,6,1,3,4,1,85,1,1
183,10,0,1,6,1,3,4,1,70,1,1
184,10,2,1,6,1,3,4,1,81,1,1
185,10,2,1,6,1,4,4,1,86,1,1
186,10,0,1,6,1,4,4,1,83,1,1
187,10,0,1,6,1,3,4,2,67,1,1
188,10,0,1,6,1,3,4,2,73,1,1
189,10,1,1,6,1,1,4,2,82,1,1
190,10,1,1,6,2,1,4,1,87,1,1
191,10,1,1,6,2,1,4,1,91,1,1
192,10,1,1,6,2,1,4,1,83,1,1
193,10,1,1,6,2,4,4,1,73,1,1
194,10,0,1,6,2,3,4,1,91,1,1
195,10,3,1,6,2,3,4,1,69,1,1
196,10,3,1,5,2,3,4,1,48,1,1
197,10,1,1,6,2,3,4,1,87,1,1
198,10,1,1,6,2,3,4,1,74,1,1
199,10,0,1,6,2,3,4,1,90,1,1
200,10,1,1,6,2,3,4,1,81,1,1
201,10,1,1,6,2,3,4,1,83,1,1
202,10,0,1,6,2,3,4,1,76,1,1
203,10,0,1,6,2,3,4,1,93,1,1
204,10,0,1,6,2,3,4,2,68,1,1
205,10,1,1,6,2,3,4,1,78,1,1
206,10,0,1,6,2,3,4,1,84,1,1
207,10,1,1,6,1,3,4,1,65,1,1
208,10,1,1,6,1,3,4,1,90,1,1
209,10,0,1,6,1,3,4,1,81,1,1
210,10,0,1,6,2,3,4,1,88,1,1
211,10,1,1,6,2,3,4,2,72,1,1
212,10,0,1,6,2,3,4,2,77,1,1
213,10,0,1,6,2,3,1,2,92,1,1
214,10,0,1,6,2,1,4,2,89,1,1
215,10,0,1,6,2,3,4,1,92,1,1
216,10,0,1,6,2,3,4,1,73,1,1
217,10,1,1,6,2,3,4,1,75,1,1
218,10,0,1,6,2,3,4,1,91,1,1
219,10,1,1,6,2,3,4,1,65,1,1
220,10,1,1,6,2,1,4,1,85,1,1
221,10,1,1,6,2,3,4,1,88,1,1
222,10,0,1,6,2,3,4,1,91,1,1
223,10,0,1,6,2,3,4,2,69,1,1
224,10,0,1,6,2,3,4,2,77,1,1
225,10,0,1,6,2,3,4,2,92,1,1
226,10,1,1,6,2,3,4,2,75,1,1
227,10,1,1,6,2,3,4,1,79,1,1
228,10,0,1,6,2,3,4,1,83,1,1
229,10,0,1,6,2,3,4,2,88,1,1
230,10,1,1,6,2,3,4,2,80,1,1
231,10,1,1,6,2,3,4,2,69,1,1
232,10,1,1,6,2,3,4,2,75,1,1
233,10,1,1,6,2,3,4,2,90,1,1
234,10,0,1,6,2,3,4,2,78,1,1
235,10,1,1,6,2,3,4,2,73,1,1
236,10,0,1,6,2,3,4,2,73,1,1
237,10,0,1,6,2,3,4,2,79,1,1
238,10,1,1,6,2,3,4,2,72,1,1
239,10,1,1,6,2,3,4,2,77,1,1
240,10,1,1,6,2,3,4,2,74,1,1
