hid,htype,nbcars_agg,hsize,age_discrete,gender,marital_status,employment,driving_licence
0,210,1,2,6,2,2,1,1
0,210,1,2,5,1,2,1,1
1,210,2,2,6,2,2,1,1
1,210,2,2,5,1,2,4,1
2,210,2,2,6,2,2,1,1
2,210,2,2,5,1,2,4,1
3,210,2,2,6,2,2,1,1
3,210,2,2,5,1,2,4,1
4,210,3,2,6,2,2,1,1
4,210,3,2,5,1,2,4,1
5,210,3,2,6,2,2,1,1
5,210,3,2,5,1,2,4,1
6,210,1,2,6,2,2,1,1
6,210,1,2,5,1,2,4,1
7,210,1,2,6,2,2,1,1
7,210,1,2,5,1,2,1,1
8,210,2,2,6,2,4,1,1
8,210,2,2,5,1,2,4,1
9,210,2,2,6,2,4,1,1
9,210,2,2,5,1,2,1,1
10,210,0,2,6,2,4,1,1
10,210,0,2,5,1,2,1,1
11,210,0,2,6,2,4,1,1
11,210,0,2,5,1,2,1,1
12,30,0,2,6,2,1,1,1
12,30,0,2,5,1,2,1,1
13,210,2,2,6,2,1,4,1
13,210,2,2,5,1,2,1,1
14,210,2,2,6,2,1,4,1
14,210,2,2,5,1,2,1,1
15,210,1,2,6,2,1,4,1
15,210,1,2,5,1,2,1,1
16,210,1,2,6,2,1,4,1
16,210,1,2,5,1,2,1,1
17,210,1,2,6,2,1,4,1
17,210,1,2,5,1,2,1,1
18,210,1,2,6,2,1,4,1
18,210,1,2,5,1,2,1,1
19,210,2,2,6,2,1,4,1
19,210,2,2,5,1,2,1,1
20,210,2,2,5,2,1,4,1
20,210,2,2,5,1,2,1,1
21,210,2,2,5,2,1,4,1
21,210,2,2,5,1,2,1,1
22,210,1,2,5,2,4,4,1
22,210,1,2,5,1,2,1,2
23,210,1,2,5,2,4,4,1
23,210,1,2,5,1,2,1,2
24,210,1,2,5,2,4,4,1
24,210,1,2,5,1,2,1,2
25,210,1,2,5,2,4,4,1
25,210,1,2,5,1,2,2,2
26,210,0,2,5,2,4,4,1
26,210,0,2,5,1,2,2,2
27,210,1,2,5,2,4,4,1
27,210,1,2,5,1,2,2,2
28,210,1,2,5,2,2,4,1
28,210,1,2,5,1,2,2,2
29,210,0,2,5,2,2,4,1
29,210,0,2,5,1,1,2,2
30,210,1,2,5,2,2,4,1
30,210,1,2,5,1,1,2,2
31,210,1,2,5,2,4,4,1
31,210,1,2,5,1,1,2,2
32,210,2,2,5,2,4,1,1
32,210,2,2,5,1,1,2,2
33,210,0,2,5,2,4,1,1
33,210,0,2,5,1,1,2,2
34,210,0,2,5,2,4,1,1
34,210,0,2,5,1,1,2,2
35,210,1,2,5,2,4,1,1
35,210,1,2,5,1,2,2,2
36,210,1,2,5,2,4,1,1
36,210,1,2,5,1,2,2,2
37,210,0,2,5,2,4,1,1
37,210,0,2,5,1,2,2,2
38,210,1,2,5,2,4,1,1
38,210,1,2,5,1,2,2,2
39,210,1,2,5,2,4,1,1
39,210,1,2,5,1,2,4,2
40,30,1,2,6,2,2,1,1
40,30,1,2,5,1,2,4,2
41,210,1,2,6,2,2,1,1
41,210,1,2,5,1,2,2,2
42,210,1,2,6,2,2,1,1
42,210,1,2,5,1,2,2,2
43,210,1,2,6,2,2,4,1
43,210,1,2,5,1,2,2,2
44,210,1,2,6,2,2,4,1
44,210,1,2,6,1,2,2,2
45,210,2,2,6,2,2,4,1
45,210,2,2,6,1,2,2,2
46,210,1,2,6,2,2,4,1
46,210,1,2,6,1,2,2,1
47,210,2,2,6,2,2,4,1
47,210,2,2,6,1,2,2,1
48,30,2,2,6,2,2,4,1
48,30,2,2,6,1,2,2,1
49,30,1,2,6,2,2,4,1
49,30,1,2,6,1,2,2,1
50,210,0,2,6,2,2,4,1
50,210,0,2,6,1,2,1,1
51,210,2,2,6,2,2,4,1
51,210,2,2,6,1,2,1,1
52,210,2,2,6,2,2,4,1
52,210,2,2,6,1,2,1,1
53,210,1,2,6,2,2,4,1
53,210,1,2,6,1,2,1,1
54,210,1,2,6,2,2,4,1
54,210,1,2,6,1,2,1,1
55,210,2,2,6,2,2,4,1
55,210,2,2,6,1,2,1,1
56,210,1,2,6,2,2,4,1
56,210,1,2,6,1,2,1,1
57,210,0,2,6,2,2,4,1
57,210,0,2,6,1,2,1,1
58,210,0,2,6,2,2,1,1
58,210,0,2,6,1,2,1,1
59,210,0,2,6,2,2,1,1
59,210,0,2,6,1,2,1,1
60,210,1,2,6,2,2,1,1
60,210,1,2,6,1,2,4,1
61,210,2,2,6,2,2,1,1
61,210,2,2,6,1,2,4,1
62,210,1,2,6,2,2,1,1
62,210,1,2,6,1,2,4,1
63,210,0,2,6,2,2,1,1
63,210,0,2,6,1,2,4,1
64,210,0,2,6,2,2,1,1
64,210,0,2,6,1,2,4,1
65,210,2,2,6,2,2,1,1
65,210,2,2,6,1,2,4,1
66,210,1,2,6,2,2,1,1
66,210,1,2,6,1,2,4,1
67,210,1,2,6,2,2,1,1
67,210,1,2,6,1,2,4,1
68,210,1,2,6,2,2,1,1
68,210,1,2,6,1,2,4,1
69,210,1,2,6,2,2,4,1
69,210,1,2,6,1,2,4,1
70,210,4,2,6,2,2,4,1
70,210,4,2,6,1,2,4,1
71,210,1,2,6,2,2,4,1
71,210,1,2,6,1,2,4,1
72,210,2,2,6,2,2,4,1
72,210,2,2,6,1,2,4,1
73,210,0,2,6,2,2,4,1
73,210,0,2,6,1,2,4,1
74,210,1,2,6,2,2,4,1
74,210,1,2,6,1,2,4,1
75,210,2,2,6,2,2,4,1
75,210,2,2,6,1,2,4,1
76,210,2,2,6,1,4,1,1
76,210,2,2,6,1,2,4,1
77,210,1,2,6,1,4,1,1
77,210,1,2,6,1,2,4,1
78,210,3,2,6,1,4,1,1
78,210,3,2,6,1,2,4,2
79,210,4,2,6,1,4,1,1
79,210,4,2,6,1,2,4,2
80,210,0,2,6,1,4,1,1
80,210,0,2,6,1,2,4,2
81,210,2,2,6,1,4,1,1
81,210,2,2,6,2,2,4,2
82,210,1,2,6,1,4,1,1
82,210,1,2,6,2,2,4,1
83,210,1,2,6,1,2,4,1
83,210,1,2,6,2,2,4,1
84,210,1,2,6,1,3,4,1
84,210,1,2,6,2,2,4,1
85,210,1,2,6,1,2,4,1
85,210,1,2,6,2,2,4,1
86,210,1,2,6,1,2,4,1
86,210,1,2,6,2,2,4,1
87,210,1,2,6,1,2,4,1
87,210,1,2,6,2,2,4,1
88,210,3,2,6,1,2,4,1
88,210,3,2,6,2,2,4,1
89,210,1,2,6,1,2,4,1
89,210,1,2,6,2,2,1,1
90,210,1,2,6,1,2,4,1
90,210,1,2,6,2,2,4,1
91,210,2,2,6,1,2,1,1
91,210,2,2,6,2,2,4,1
92,210,2,2,6,1,2,4,1
92,210,2,2,6,2,2,4,1
93,210,2,2,6,1,2,4,2
93,210,2,2,6,2,2,4,1
94,210,1,2,6,1,2,4,2
94,210,1,2,6,2,2,4,1
95,210,1,2,6,1,2,4,2
95,210,1,2,6,2,2,4,1
96,210,1,2,6,1,2,4,2
96,210,1,2,6,2,2,4,1
97,210,1,2,6,1,2,4,2
97,210,1,2,6,2,2,4,1
98,210,3,2,6,1,2,4,2
98,210,3,2,6,2,2,4,1
99,210,2,2,6,1,2,4,2
99,210,2,2,6,2,2,4,1
100,210,2,2,6,1,2,4,2
100,210,2,2,6,2,2,4,1
101,210,1,2,6,1,2,4,1
101,210,1,2,6,2,2,4,1
102,210,1,2,6,1,2,4,1
102,210,1,2,6,2,2,4,1
103,210,1,2,6,1,2,4,1
103,210,1,2,6,2,2,4,1
104,210,1,2,6,1,2,4,1
104,210,1,2,6,2,2,4,1
105,210,1,2,6,1,2,4,1
105,210,1,2,6,2,2,4,1
106,210,1,2,6,1,2,4,1
106,210,1,2,6,2,2,4,1
107,210,1,2,6,1,2,4,1
107,210,1,2,6,2,2,4,1
108,210,1,2,6,1,2,4,1
108,210,1,2,6,2,2,4,1
109,210,1,2,6,1,2,4,1
109,210,1,2,6,2,3,4,1
110,210,1,2,6,1,2,4,1
110,210,1,2,6,1,3,4,1
111,210,1,2,6,1,2,4,1
111,210,1,2,6,1,3,4,1
112,210,1,2,6,1,2,4,1
112,210,1,2,6,1,3,4,1
113,210,1,2,6,1,2,4,1
113,210,1,2,6,1,3,4,1
114,210,2,2,6,1,2,4,1
114,210,2,2,6,1,3,4,1
115,210,1,2,6,1,2,4,1
115,210,1,2,6,2,3,4,1
116,210,0,2,6,1,2,4,1
116,210,0,2,6,2,3,4,1
117,210,0,2,6,1,2,4,1
117,210,0,2,6,2,3,4,1
118,210,3,2,6,1,2,4,1
118,210,3,2,6,2,3,4,1
119,210,0,2,6,1,2,4,1
119,210,0,2,6,2,3,4,1
120,210,3,2,6,1,2,4,1
120,210,3,2,6,2,3,4,1
121,210,3,2,6,1,2,4,1
121,210,3,2,6,2,3,4,1
122,210,1,2,6,1,2,4,1
122,210,1,2,6,2,3,4,1
123,210,1,2,6,1,2,4,1
123,210,1,2,6,2,3,4,1
124,210,1,2,6,1,2,4,1
124,210,1,2,6,2,3,4,1
125,210,1,2,6,1,2,4,1
125,210,1,2,6,2,3,4,1
126,210,1,2,6,1,2,4,1
126,210,1,2,6,2,3,4,1
127,210,0,2,6,1,2,4,1
127,210,0,2,6,2,3,4,1
128,210,3,2,6,1,2,4,1
128,210,3,2,6,2,3,4,1
129,210,3,2,6,1,2,4,1
129,210,3,2,6,2,3,4,1
130,210,2,2,6,1,2,4,1
130,210,2,2,6,2,3,4,1
131,210,2,2,6,1,2,4,1
131,210,2,2,6,2,3,4,1
132,210,1,2,6,1,2,4,1
132,210,1,2,6,2,3,4,1
133,210,1,2,6,1,2,4,1
133,210,1,2,6,2,3,4,1
134,210,0,2,6,1,2,4,1
134,210,0,2,6,2,3,4,1
135,210,2,2,6,1,2,4,1
135,210,2,2,6,2,3,4,1
136,210,1,2,6,1,2,4,1
136,210,1,2,6,2,3,4,1
137,210,1,2,6,1,2,4,1
137,210,1,2,6,2,3,4,1
138,210,1,2,6,1,2,4,1
138,210,1,2,6,2,3,4,1
139,210,0,2,6,1,2,4,1
139,210,0,2,6,2,3,4,1
140,210,1,2,6,1,2,4,1
140,210,1,2,6,2,2,4,1
141,210,2,2,6,1,2,4,1
141,210,2,2,6,2,2,4,1
142,210,1,2,6,1,2,4,1
142,210,1,2,6,2,2,4,1
143,210,1,2,6,1,2,4,1
143,210,1,2,6,2,2,4,1
144,210,1,2,6,1,2,4,1
144,210,1,2,6,2,2,4,1
145,210,2,2,6,1,2,4,1
145,210,2,2,6,2,2,4,1
146,210,1,2,6,1,2,4,1
146,210,1,2,6,2,2,4,1
147,210,3,2,6,1,2,4,1
147,210,3,2,6,2,2,4,1
148,210,1,2,6,2,2,4,1
148,210,1,2,6,2,2,4,1
149,210,1,2,6,2,2,4,1
149,210,1,2,6,2,2,4,1
150,210,1,2,6,1,2,4,1
150,210,1,2,6,2,2,4,1
151,210,1,2,6,1,2,4,1
151,210,1,2,6,2,2,4,1
152,210,1,2,6,1,2,4,1
152,210,1,2,6,2,2,4,1
153,210,2,2,6,1,2,4,1
153,210,2,2,6,2,2,4,1
154,210,1,2,6,1,2,4,1
154,210,1,2,6,2,2,4,1
155,210,1,2,6,1,2,4,1
155,210,1,2,6,2,2,4,1
156,210,2,2,6,1,2,4,1
156,210,2,2,6,2,2,4,1
157,210,2,2,6,1,2,4,1
157,210,2,2,6,2,2,4,1
158,210,0,2,6,1,2,4,1
158,210,0,2,6,2,2,4,1
159,210,1,2,6,1,2,4,1
159,210,1,2,6,2,2,4,1
160,210,1,2,6,1,2,4,1
160,210,1,2,6,2,4,4,1
161,210,2,2,6,1,2,4,1
161,210,2,2,6,2,4,4,1
162,230,2,2,6,1,2,4,1
162,230,2,2,5,2,4,4,1
163,210,2,2,6,1,2,4,1
163,210,2,2,5,2,2,4,1
164,210,2,2,6,1,2,4,1
164,210,2,2,5,2,2,4,1
165,210,1,2,6,1,2,4,1
165,210,1,2,5,2,2,4,1
166,210,1,2,6,1,2,4,1
166,210,1,2,5,2,2,1,1
167,210,1,2,6,1,2,4,2
167,210,1,2,5,2,2,1,1
168,230,1,2,6,1,2,4,2
168,230,1,2,5,2,2,1,1
169,210,1,2,6,1,2,4,2
169,210,1,2,5,2,2,1,1
170,210,1,2,6,1,2,4,2
170,210,1,2,5,2,2,1,1
171,210,2,2,6,1,2,4,2
171,210,2,2,5,2,2,1,1
172,230,1,2,6,1,2,4,2
172,230,1,2,5,2,2,1,1
173,210,0,2,6,1,2,4,2
173,210,0,2,5,2,2,1,1
174,210,2,2,6,1,2,4,2
174,210,2,2,5,2,2,1,1
175,210,1,2,6,1,2,4,2
175,210,1,2,5,2,2,1,1
176,210,1,2,6,1,2,4,2
176,210,1,2,5,2,2,1,1
177,210,0,2,6,1,2,4,2
177,210,0,2,5,2,2,1,1
178,210,2,2,6,1,2,4,1
178,210,2,2,5,2,2,1,1
179,210,2,2,6,1,2,4,1
179,210,2,2,5,2,2,1,1
180,210,3,2,6,1,2,4,1
180,210,3,2,5,2,2,1,1
181,210,2,2,6,1,2,4,1
181,210,2,2,5,2,2,1,1
182,210,1,2,6,1,2,4,1
182,210,1,2,5,2,2,1,1
183,210,1,2,6,1,2,4,1
183,210,1,2,5,2,2,1,1
184,210,1,2,6,1,2,4,1
184,210,1,2,5,2,2,1,1
185,210,2,2,6,1,2,4,1
185,210,2,2,5,2,2,1,1
186,210,1,2,6,1,2,4,1
186,210,1,2,5,2,2,1,1
187,210,0,2,6,1,2,4,1
187,210,0,2,5,2,2,1,1
188,210,1,2,5,1,2,4,1
188,210,1,2,5,2,2,1,1
189,210,3,2,5,1,2,4,1
189,210,3,2,5,2,2,1,2
190,210,0,2,5,1,2,4,1
190,210,0,2,4,2,2,1,2
191,210,0,2,4,1,2,4,1
191,210,0,2,4,2,2,1,2
192,210,0,2,4,1,2,4,1
192,210,0,2,4,2,2,1,2
193,210,1,2,4,1,2,4,1
193,210,1,2,4,2,2,1,2
194,210,2,2,4,1,2,4,1
194,210,2,2,4,2,2,1,2
195,210,2,2,4,1,2,4,1
195,210,2,2,4,2,2,1,2
196,210,1,2,4,1,2,4,1
196,210,1,2,4,2,2,1,2
197,210,0,2,4,1,2,4,1
197,210,0,2,4,2,2,1,2
198,210,3,2,4,1,2,4,1
198,210,3,2,4,2,2,1,2
199,210,1,2,4,1,2,4,1
199,210,1,2,3,2,2,1,2
200,210,1,2,4,1,2,4,1
200,210,1,2,3,2,2,1,2
201,210,0,2,4,1,2,4,1
201,210,0,2,3,2,2,1,2
202,210,1,2,4,1,2,4,1
202,210,1,2,3,2,2,1,2
203,210,3,2,4,1,2,4,1
203,210,3,2,3,2,2,1,2
204,230,1,2,4,1,2,4,1
204,230,1,2,3,2,2,1,2
205,230,1,2,4,1,2,4,1
205,230,1,2,3,2,1,1,2
206,230,1,2,4,1,2,1,1
206,230,1,2,3,2,1,1,2
207,210,1,2,4,1,2,1,1
207,210,1,2,4,2,1,1,2
208,210,1,2,4,1,2,1,1
208,210,1,2,4,2,1,1,2
209,210,1,2,4,1,2,1,1
209,210,1,2,4,2,1,1,2
210,210,1,2,4,1,2,1,1
210,210,1,2,4,2,1,1,2
211,210,1,2,4,1,2,1,1
211,210,1,2,4,2,1,1,2
212,210,0,2,4,1,2,1,1
212,210,0,2,4,2,1,1,2
213,210,2,2,4,1,2,1,1
213,210,2,2,4,2,1,1,2
214,210,1,2,4,1,2,1,1
214,210,1,2,4,2,1,1,2
215,210,2,2,4,1,2,1,1
215,210,2,2,4,2,1,1,2
216,210,2,2,4,1,2,1,1
216,210,2,2,4,2,2,1,2
217,210,1,2,4,1,2,1,1
217,210,1,2,4,2,2,1,2
218,210,1,2,4,1,2,1,1
218,210,1,2,4,2,2,1,2
219,210,1,2,4,1,2,1,1
219,210,1,2,4,2,1,1,2
220,210,1,2,4,1,2,1,1
220,210,1,2,4,2,1,1,2
221,210,1,2,4,1,2,1,1
221,210,1,2,4,2,1,1,2
222,210,1,2,5,1,2,1,1
222,210,1,2,4,2,1,1,2
223,30,1,2,5,1,2,1,1
223,30,1,2,4,2,1,1,2
224,210,1,2,5,1,2,1,1
224,210,1,2,4,2,1,1,1
225,210,1,2,5,1,4,1,1
225,210,1,2,4,2,1,1,1
226,210,3,2,5,1,4,1,1
226,210,3,2,4,2,1,1,1
227,210,3,2,5,1,4,1,1
227,210,3,2,4,2,1,1,1
228,230,0,2,5,1,1,1,1
228,230,0,2,4,2,1,1,1
229,30,2,2,4,1,1,1,1
229,30,2,2,4,2,1,1,1
230,30,1,2,4,1,2,1,1
230,30,1,2,4,2,1,1,1
231,210,0,2,4,1,2,1,1
231,210,0,2,4,2,1,1,1
232,210,0,2,4,1,2,1,1
