hid,htype,nbcars_agg,hsize,age_discrete,gender,marital_status,employment,driving_licence
0,10,1,1,5,2,1,2,1
1,10,0,1,5,2,1,2,1
2,10,0,1,5,2,1,2,1
3,10,1,1,5,2,1,2,1
4,10,1,1,5,2,1,2,1
5,10,1,1,5,1,4,2,1
6,10,1,1,5,2,4,2,1
7,10,1,1,5,2,1,2,1
8,10,0,1,4,2,1,2,1
9,10,0,1,4,2,1,2,1
10,10,0,1,4,2,1,2,1
11,10,1,1,4,2,1,2,1
12,10,1,1,4,2,1,1,1
13,10,1,1,4,1,1,1,1
14,10,0,1,4,1,1,1,1
15,10,1,1,5,1,1,1,1
16,10,1,1,4,1,1,1,1
17,10,1,1,4,1,4,1,1
18,10,0,1,4,1,4,1,1
19,10,0,1,4,1,4,1,1
20,10,1,1,4,2,4,1,1
21,10,0,1,4,2,4,1,1
22,10,1,1,4,2,1,1,1
23,10,0,1,4,2,1,1,1
24,10,1,1,4,2,1,1,1
25,10,0,1,4,2,1,1,1
26,10,1,1,4,2,1,1,1
27,10,1,1,4,2,1,1,1
28,10,0,1,4,2,1,1,1
29,10,1,1,4,1,1,1,1
30,10,1,1,4,1,1,1,1
31,10,1,1,4,1,1,1,1
32,10,1,1,4,1,1,1,1
33,10,2,1,4,1,1,1,1
34,10,0,1,4,1,1,1,1
35,10,0,1,4,1,1,1,1
36,10,0,1,4,1,1,1,1
37,10,0,1,4,1,1,1,2
38,10,0,1,4,1,1,1,1
39,10,0,1,4,1,1,1,1
40,10,1,1,4,1,1,1,1
41,10,1,1,4,1,1,1,1
42,10,0,1,4,1,1,1,1
43,10,1,1,4,2,1,1,1
44,10,1,1,4,2,1,1,1
45,10,1,1,4,2,1,1,1
46,10,1,1,4,2,1,1,1
47,10,2,1,4,2,1,1,1
48,10,0,1,4,2,1,1,1
49,10,1,1,4,2,1,1,1
50,10,0,1,4,2,1,1,1
51,10,1,1,5,2,1,1,1
52,10,1,1,5,1,1,1,1
53,10,0,1,5,1,1,1,1
54,10,1,1,5,1,1,1,1
55,10,3,1,5,1,2,1,1
56,10,0,1,5,1,2,1,1
57,10,3,1,5,1,2,1,1
58,10,3,1,5,1,2,1,2
59,10,0,1,4,1,2,1,2
60,10,1,1,4,1,1,1,2
61,10,1,1,4,2,1,1,2
62,10,1,1,4,2,2,1,2
63,10,0,1,4,2,2,1,1
64,10,1,1,4,2,2,1,1
65,10,1,1,4,2,2,1,1
66,10,1,1,4,2,2,1,1
67,10,1,1,4,2,2,2,1
68,10,1,1,4,2,2,1,1
69,10,1,1,4,1,2,1,1
70,10,3,1,4,1,2,1,1
71,10,0,1,4,1,2,1,2
72,10,1,1,4,1,2,1,1
73,10,1,1,4,1,1,1,1
74,10,1,1,4,1,1,1,1
75,10,0,1,4,1,1,1,1
76,10,0,1,4,1,1,1,1
77,10,1,1,4,1,1,1,1
78,10,0,1,4,1,1,1,1
79,10,1,1,4,1,1,1,1
80,10,1,1,4,1,1,1,1
81,10,2,1,4,1,1,1,1
82,10,1,1,4,1,1,1,1
83,10,1,1,4,1,1,1,1
84,10,1,1,4,1,1,1,1
85,10,0,1,4,1,1,1,1
86,10,1,1,4,1,1,1,2
87,10,1,1,4,2,1,1,2
88,10,0,1,4,1,1,1,2
89,10,1,1,4,1,1,1,2
90,10,1,1,4,1,1,1,2
91,10,0,1,4,1,1,1,2
92,10,2,1,4,1,1,1,2
