hid,htype,nbcars_agg,hsize,age_discrete,gender,marital_status,employment,driving_licence
0,220,2,3,5,1,2,2,1
0,220,2,3,5,2,2,1,1
0,220,2,3,3,1,1,1,1
1,220,2,3,5,1,2,2,1
1,220,2,3,5,2,2,1,1
1,220,2,3,2,1,1,1,2
2,220,2,3,5,1,2,2,1
2,220,2,3,5,2,2,1,1
2,220,2,3,2,1,1,1,2
3,220,4,3,5,1,2,2,1
3,220,4,3,5,2,2,1,1
3,220,4,3,3,2,1,1,1
4,220,2,3,5,1,2,2,1
4,220,2,3,5,2,2,1,1
4,220,2,3,3,2,1,1,1
5,220,2,3,5,1,2,1,1
5,220,2,3,5,2,2,1,1
5,220,2,3,3,1,1,1,2
6,220,2,3,5,1,1,1,1
6,220,2,3,5,2,2,1,1
6,220,2,3,1,1,1,5,2
7,220,2,3,4,1,1,1,1
7,220,2,3,4,2,2,1,1
7,220,2,3,1,2,1,5,2
8,220,2,3,4,1,1,1,1
8,220,2,3,4,2,2,1,1
8,220,2,3,2,1,1,3,2
9,220,2,3,4,1,1,1,1
9,220,2,3,4,2,2,1,1
9,220,2,3,1,2,1,5,2
10,220,1,3,4,1,1,1,1
10,220,1,3,4,2,2,1,1
10,220,1,3,1,2,1,5,2
11,220,1,3,4,1,1,1,1
11,220,1,3,4,2,2,1,1
11,220,1,3,3,1,1,1,2
12,220,1,3,4,1,1,1,1
12,220,1,3,4,2,2,1,1
12,220,1,3,1,1,1,5,2
13,220,2,3,4,1,1,1,1
13,220,2,3,4,2,2,1,1
13,220,2,3,1,1,1,3,2
14,220,2,3,4,1,1,1,1
14,220,2,3,4,2,2,1,1
14,220,2,3,1,1,1,3,2
15,220,3,3,4,1,1,1,1
15,220,3,3,4,2,2,1,1
15,220,3,3,1,1,1,5,2
16,220,3,3,4,1,1,1,1
16,220,3,3,4,2,2,1,1
16,220,3,3,1,2,1,5,2
17,220,3,3,4,1,1,1,1
17,220,3,3,4,2,2,1,1
17,220,3,3,1,2,1,5,2
18,220,3,3,4,1,1,1,1
18,220,3,3,4,2,2,2,1
18,220,3,3,1,1,1,5,2
19,220,3,3,4,1,1,1,1
19,220,3,3,4,2,2,2,1
19,220,3,3,3,1,1,1,1
20,220,1,3,4,1,2,1,1
20,220,1,3,4,2,2,2,1
20,220,1,3,3,1,1,1,1
21,220,2,3,4,1,2,1,1
21,220,2,3,4,2,2,2,1
21,220,2,3,1,2,1,5,2
22,220,2,3,4,1,2,1,1
22,220,2,3,4,2,2,2,1
22,220,2,3,3,2,1,1,1
23,220,3,3,4,1,2,1,1
23,220,3,3,4,2,2,2,1
23,220,3,3,1,1,1,5,2
24,220,3,3,4,1,2,1,1
24,220,3,3,4,2,2,2,1
24,220,3,3,1,1,1,5,2
25,220,2,3,4,1,2,1,1
25,220,2,3,4,2,2,2,1
25,220,2,3,1,1,1,5,2
26,220,3,3,4,1,2,1,1
26,220,3,3,4,2,2,2,1
26,220,3,3,1,2,1,5,2
27,220,1,3,4,1,2,1,1
27,220,1,3,4,2,2,2,1
27,220,1,3,1,2,1,5,2
28,220,4,3,4,1,2,1,1
28,220,4,3,4,2,2,2,1
28,220,4,3,1,1,1,5,2
29,220,4,3,4,1,2,1,1
29,220,4,3,4,2,2,2,1
29,220,4,3,1,1,1,5,2
30,220,4,3,4,1,2,1,1
30,220,4,3,4,2,2,2,1
30,220,4,3,1,1,1,5,2
31,220,4,3,4,1,2,1,1
31,220,4,3,4,2,2,2,1
31,220,4,3,1,1,1,5,2
32,220,4,3,4,1,2,1,1
32,220,4,3,4,2,2,2,1
32,220,4,3,1,1,1,5,2
33,220,2,3,4,1,2,2,1
33,220,2,3,4,2,2,2,1
33,220,2,3,1,2,1,5,2
34,220,2,3,4,1,1,2,1
34,220,2,3,4,2,2,2,1
34,220,2,3,2,1,1,1,2
35,220,2,3,4,1,1,1,1
35,220,2,3,4,2,2,2,1
35,220,2,3,1,2,1,5,2
36,30,2,3,4,1,1,1,1
36,30,2,3,4,2,2,2,1
36,30,2,3,4,2,1,1,1
37,220,2,3,4,1,1,1,1
37,220,2,3,4,2,2,2,1
37,220,2,3,1,2,1,5,2
38,220,2,3,4,1,1,1,1
38,220,2,3,4,2,2,2,1
38,220,2,3,1,2,1,5,2
39,30,3,3,4,1,1,1,1
39,30,3,3,4,2,2,2,1
39,30,3,3,2,2,1,1,2
40,220,3,3,4,1,1,1,1
40,220,3,3,4,2,2,1,1
40,220,3,3,1,1,1,5,2
41,220,2,3,4,1,1,1,1
41,220,2,3,4,2,2,1,1
41,220,2,3,1,1,1,5,2
42,220,2,3,4,1,1,1,1
42,220,2,3,4,2,2,1,1
42,220,2,3,2,2,1,5,2
43,220,2,3,4,1,1,1,1
43,220,2,3,4,2,2,1,1
43,220,2,3,1,1,1,5,2
44,220,2,3,4,1,1,1,1
44,220,2,3,4,2,2,1,1
44,220,2,3,1,2,1,5,2
45,220,2,3,4,1,1,1,1
45,220,2,3,4,2,2,1,1
45,220,2,3,1,2,1,5,2
46,220,1,3,4,1,1,1,1
46,220,1,3,4,2,2,1,1
46,220,1,3,1,2,1,5,2
47,220,1,3,4,1,1,1,1
47,220,1,3,4,2,2,1,1
47,220,1,3,1,1,1,5,2
48,220,4,3,4,1,1,1,1
48,220,4,3,4,2,2,1,1
48,220,4,3,1,1,1,5,2
49,220,1,3,4,1,1,1,1
49,220,1,3,4,2,2,1,1
49,220,1,3,1,1,1,5,2
50,220,3,3,4,1,1,1,1
50,220,3,3,4,2,2,1,1
50,220,3,3,1,2,1,5,2
51,220,3,3,4,1,2,1,1
51,220,3,3,4,2,2,1,1
51,220,3,3,1,2,1,5,2
52,220,3,3,4,1,2,1,1
52,220,3,3,4,2,2,1,1
52,220,3,3,1,2,1,5,2
53,220,3,3,4,1,2,1,1
53,220,3,3,4,2,2,1,1
53,220,3,3,1,1,1,5,2
54,220,4,3,4,1,2,1,1
54,220,4,3,4,2,2,1,1
54,220,4,3,3,1,1,1,1
55,220,1,3,4,1,2,1,1
55,220,1,3,4,2,2,1,1
55,220,1,3,1,1,1,5,2
56,220,1,3,4,1,2,1,1
56,220,1,3,4,2,2,1,1
56,220,1,3,1,2,1,5,2
57,220,1,3,4,1,2,1,1
57,220,1,3,4,2,2,1,1
57,220,1,3,1,2,1,3,2
58,220,1,3,4,1,2,1,1
58,220,1,3,4,2,2,1,1
58,220,1,3,1,1,1,5,2
59,220,2,3,4,1,2,1,1
59,220,2,3,4,2,2,1,1
59,220,2,3,1,2,1,5,2
60,220,2,3,4,1,2,1,1
60,220,2,3,4,2,2,1,1
60,220,2,3,1,2,1,5,2
61,220,3,3,4,1,2,1,1
61,220,3,3,4,2,2,1,1
61,220,3,3,1,1,1,5,2
62,220,2,3,4,1,2,1,1
62,220,2,3,4,2,2,1,1
62,220,2,3,1,1,1,5,2
63,220,2,3,4,1,2,1,1
63,220,2,3,4,2,2,1,1
63,220,2,3,1,1,1,5,2
64,220,1,3,4,1,2,1,1
64,220,1,3,4,2,2,1,1
64,220,1,3,3,1,1,2,2
65,220,1,3,4,1,2,1,1
65,220,1,3,4,2,2,1,1
65,220,1,3,1,1,1,5,2
66,30,1,3,4,1,2,1,1
66,30,1,3,4,2,2,1,1
66,30,1,3,3,2,1,3,1
67,30,1,3,4,1,2,1,1
67,30,1,3,4,2,2,1,1
67,30,1,3,4,2,1,1,1
68,30,3,3,4,1,2,1,1
68,30,3,3,4,2,2,2,1
68,30,3,3,4,2,1,1,1
69,30,3,3,4,1,2,1,1
69,30,3,3,4,2,2,2,1
69,30,3,3,2,2,1,3,2
70,220,1,3,4,1,2,1,1
70,220,1,3,4,2,2,2,1
70,220,1,3,3,2,1,3,2
71,30,2,3,4,1,2,1,1
71,30,2,3,4,2,2,2,1
71,30,2,3,4,1,1,1,1
72,220,0,3,4,1,2,1,1
72,220,0,3,4,2,2,2,1
72,220,0,3,1,2,1,5,2
73,220,0,3,4,1,2,1,1
73,220,0,3,4,2,2,2,1
73,220,0,3,1,1,1,5,2
74,220,2,3,4,1,2,1,1
74,220,2,3,4,2,2,2,1
74,220,2,3,1,2,1,5,2
75,220,4,3,4,1,2,1,1
75,220,4,3,4,2,2,2,1
75,220,4,3,1,1,1,5,2
76,220,4,3,4,1,2,1,1
76,220,4,3,4,2,2,2,1
76,220,4,3,1,2,1,5,2
77,220,2,3,4,1,2,1,1
77,220,2,3,4,2,2,2,1
77,220,2,3,1,2,1,5,2
78,30,1,3,4,1,2,1,1
78,30,1,3,4,2,2,2,1
78,30,1,3,4,2,2,1,1
79,220,1,3,4,1,2,1,1
79,220,1,3,4,2,2,2,1
79,220,1,3,1,2,1,5,2
80,220,2,3,4,1,2,1,1
80,220,2,3,4,2,2,2,1
80,220,2,3,1,2,1,5,2
81,220,0,3,4,1,2,1,1
81,220,0,3,4,2,2,2,1
81,220,0,3,1,2,1,5,2
82,230,1,3,4,1,2,1,1
82,230,1,3,4,2,2,2,1
82,230,1,3,3,1,1,1,1
83,30,1,3,4,1,2,1,1
83,30,1,3,4,1,2,2,1
83,30,1,3,3,1,2,1,1
84,220,1,3,4,1,2,1,1
84,220,1,3,4,2,2,2,1
84,220,1,3,1,1,1,5,2
