hid,htype,nbcars_agg,hsize,age_discrete,gender,marital_status,employment,driving_licence
0,220,3,6,1,2,1,5,2
1,220,3,6,1,2,1,5,2
2,220,0,6,4,1,2,3,1
3,220,2,6,1,1,1,5,2
4,220,2,6,4,1,2,3,1
5,220,2,6,1,2,1,5,2
6,220,3,6,4,1,2,3,1
7,220,2,6,1,2,1,5,2
8,30,2,6,1,1,1,5,2
9,220,2,6,4,2,2,1,1
10,220,3,6,4,2,2,1,1
11,220,3,6,4,2,2,1,1
12,220,3,6,1,2,1,5,2
13,220,3,6,2,1,1,3,2
14,220,3,6,4,1,1,1,2
15,220,1,6,1,1,1,5,2
16,220,1,6,4,1,2,3,1
17,220,1,6,4,2,2,1,1
18,220,1,6,4,1,2,3,1
19,220,2,6,1,2,1,5,2
20,220,2,6,1,1,1,5,2
21,220,2,6,1,2,1,5,2
22,220,1,6,1,2,1,5,2
23,220,1,6,1,2,1,5,2
24,220,1,6,1,2,1,5,2
25,220,2,6,1,2,1,5,2
26,220,0,6,1,2,1,5,2
27,220,1,6,4,2,2,1,1
28,220,1,6,4,1,2,3,1
29,220,1,6,1,1,1,5,2
30,220,2,6,1,1,1,5,2
31,220,3,6,1,2,1,5,2
32,220,1,6,4,1,2,3,1
33,220,1,6,1,1,1,5,2
34,220,1,6,1,1,1,5,2
35,220,1,6,1,2,1,5,2
36,220,2,6,1,1,1,5,2
37,220,2,6,1,2,1,5,2
38,220,2,6,1,2,1,5,2
39,220,1,6,4,1,2,3,1
40,220,1,6,4,2,1,1,1
41,220,1,6,4,2,1,1,1
42,30,1,6,3,2,2,1,1
43,220,1,6,1,2,1,5,2
44,220,1,6,1,1,1,5,2
45,220,3,6,4,2,1,1,1
46,220,2,6,1,1,1,5,2
47,220,3,6,1,1,1,5,2
48,220,3,6,4,1,2,3,1
49,220,3,6,1,1,1,5,2
50,220,3,6,1,2,1,5,2
51,220,1,6,4,1,2,3,1
52,220,1,6,1,1,1,5,2
53,220,1,6,4,2,2,1,1
54,220,1,6,1,1,1,5,2
55,220,1,6,1,1,1,5,2
56,220,1,6,4,2,2,1,1
57,30,1,6,2,1,1,2,2
58,220,1,6,5,1,2,3,1
59,220,1,6,4,2,2,1,1
60,220,2,6,2,1,1,1,2
61,220,1,6,2,1,1,3,2
62,220,1,6,1,2,1,5,2
63,220,3,6,5,1,2,1,1
64,220,3,6,1,1,1,5,2
65,220,3,6,1,2,1,5,2
66,220,3,6,1,1,1,5,2
67,220,3,6,1,2,1,5,2
68,220,1,6,1,1,1,5,2
69,220,1,6,1,1,1,5,2
70,220,1,6,1,2,1,5,2
71,220,1,6,1,1,1,5,2
72,220,2,6,5,1,2,1,1
73,220,2,6,1,2,1,5,2
74,230,2,6,5,1,2,1,1
75,220,1,6,1,1,1,5,2
