hid,htype,nbcars_agg,hsize,age_discrete,gender,marital_status,employment,driving_licence
0,10,1,1,5,1,1,1,1
1,10,0,1,5,2,1,1,1
2,10,1,1,5,2,4,1,1
3,10,2,1,5,2,4,1,1
4,10,1,1,5,2,4,1,1
5,10,1,1,5,2,4,1,1
6,10,0,1,5,1,1,1,1
7,10,1,1,5,1,1,1,1
8,10,0,1,5,1,1,1,1
9,10,0,1,5,1,1,1,1
10,10,1,1,5,1,1,1,1
11,10,0,1,5,1,1,1,1
12,10,1,1,5,1,1,1,1
13,10,1,1,5,1,1,1,1
14,10,1,1,5,1,1,1,1
15,10,1,1,5,1,1,1,1
16,10,1,1,5,1,1,4,1
17,10,0,1,5,1,1,4,1
18,10,0,1,6,1,1,4,1
19,10,1,1,6,1,1,4,1
20,10,1,1,6,1,1,4,1
21,10,1,1,6,1,1,4,1
22,10,0,1,6,1,1,4,1
23,10,0,1,6,1,1,4,1
24,10,0,1,6,2,1,4,1
25,10,1,1,5,2,4,4,1
26,10,1,1,5,2,4,4,1
27,10,0,1,5,2,4,1,1
28,10,0,1,5,2,4,1,1
29,10,2,1,5,2,4,1,1
30,10,1,1,5,2,4,1,1
31,10,1,1,5,2,4,1,1
32,10,1,1,5,2,1,1,1
33,10,1,1,5,2,4,1,1
34,10,0,1,5,2,1,1,1
35,10,0,1,6,2,1,1,1
36,10,0,1,6,1,4,1,1
37,10,1,1,6,1,4,4,1
38,10,1,1,6,1,4,4,1
39,10,1,1,6,1,4,4,1
40,10,1,1,6,1,3,4,1
41,10,1,1,6,1,3,4,1
42,10,1,1,6,2,3,4,1
43,10,1,1,6,2,3,4,1
44,10,1,1,6,2,3,4,1
45,10,1,1,6,2,4,4,1
46,10,1,1,6,2,4,4,1
47,10,1,1,6,2,4,4,1
48,10,1,1,6,2,4,4,2
49,10,1,1,6,2,4,4,2
50,10,1,1,6,2,4,4,2
51,10,1,1,6,2,3,4,2
52,10,0,1,6,2,3,4,2
53,10,1,1,6,2,4,4,2
54,10,0,1,6,2,4,4,2
55,10,1,1,6,2,4,4,2
56,10,0,1,6,2,4,4,2
57,10,1,1,6,2,4,4,2
58,10,1,1,6,2,4,4,2
59,10,1,1,6,1,4,4,2
60,10,1,1,6,1,4,4,2
61,10,0,1,6,1,4,4,2
62,10,0,1,6,1,4,4,2
63,10,1,1,6,1,4,4,2
64,10,1,1,6,2,4,4,2
65,10,0,1,6,2,4,4,2
66,10,1,1,6,2,4,4,2
67,10,1,1,6,2,3,4,2
68,10,1,1,6,2,3,4,1
69,10,1,1,6,2,3,4,1
70,10,1,1,6,2,3,4,1
71,10,2,1,6,2,3,4,1
72,10,1,1,6,2,3,4,1
73,10,1,1,6,2,3,4,1
74,10,1,1,6,2,3,4,1
75,10,0,1,6,2,3,4,1
76,10,2,1,6,2,3,4,1
77,10,0,1,6,2,3,4,2
78,10,1,1,6,2,3,4,2
79,10,2,1,6,2,3,4,2
80,10,2,1,6,2,3,4,2
81,10,0,1,6,2,3,4,2
82,10,1,1,6,2,3,4,2
83,10,1,1,6,2,3,4,2
84,10,1,1,6,2,3,1,2
85,10,1,1,6,2,3,4,2
86,10,1,1,6,2,3,4,2
87,10,0,1,6,2,3,4,2
88,10,1,1,6,2,3,4,2
89,10,1,1,6,2,2,4,2
90,10,1,1,6,2,2,4,2
91,10,0,1,6,2,2,4,1
92,10,0,1,6,2,3,4,1
93,10,0,1,6,2,3,4,1
94,10,1,1,6,1,3,4,1
95,10,1,1,6,2,3,4,1
96,10,1,1,6,2,3,4,1
97,10,1,1,6,2,3,4,1
98,10,1,1,6,2,3,4,1
99,10,1,1,6,2,3,4,1
100,10,0,1,6,2,2,4,1
101,10,0,1,6,1,1,4,1
102,10,0,1,6,1,1,4,1
103,10,0,1,6,1,3,4,1
104,10,0,1,6,1,3,4,2
105,10,0,1,6,1,3,4,2
106,10,1,1,6,1,3,4,2
107,10,1,1,6,1,3,4,2
108,10,1,1,6,1,3,4,2
109,10,1,1,6,1,3,4,2
110,10,0,1,6,1,3,4,2
111,10,1,1,6,2,3,4,2
112,10,2,1,6,2,3,4,2
113,10,2,1,6,2,3,4,2
114,10,1,1,6,2,3,4,2
115,10,1,1,6,2,3,4,2
116,10,0,1,6,2,3,4,2
117,10,1,1,6,2,3,4,1
118,10,1,1,6,2,3,4,1
119,10,1,1,6,2,3,4,1
120,10,1,1,6,2,3,4,1
121,10,0,1,6,2,3,4,1
122,10,1,1,6,2,3,4,2
123,10,1,1,6,2,3,4,2
124,10,0,1,6,2,3,4,2
125,10,0,1,6,2,3,4,2
126,10,0,1,6,2,3,4,2
127,10,0,1,6,2,3,4,2
128,10,1,1,6,2,3,4,2
129,10,1,1,6,2,3,4,2
130,10,1,1,6,2,3,4,2
131,10,1,1,6,2,3,4,2
132,10,0,1,6,2,3,4,1
133,10,2,1,6,2,3,4,1
134,10,1,1,6,2,3,4,2
135,10,0,1,6,2,3,4,2
136,10,1,1,6,2,3,4,2
137,10,1,1,6,2,3,4,2
138,10,1,1,6,2,3,4,2
139,10,1,1,6,2,3,4,2
140,10,1,1,6,2,3,4,2
141,10,0,1,6,2,3,4,2
142,10,1,1,6,2,3,4,2
143,10,0,1,6,2,3,4,2
144,10,1,1,6,2,3,4,2
145,10,1,1,6,2,4,4,2
146,10,1,1,6,2,4,4,2
147,10,0,1,6,2,1,4,2
148,10,0,1,6,2,1,4,2
149,10,0,1,6,2,4,4,2
150,10,1,1,6,2,4,4,2
151,10,0,1,6,2,4,4,2
152,10,1,1,6,2,4,4,2
153,10,1,1,6,2,4,4,2
154,10,0,1,6,2,4,4,2
155,10,1,1,6,2,4,4,2
156,10,1,1,6,2,3,4,2
157,10,1,1,6,2,3,1,1
158,10,1,1,5,2,3,1,1
159,10,1,1,5,2,4,1,1
160,10,0,1,5,2,4,1,1
161,10,0,1,5,2,3,1,1
162,10,0,1,5,2,3,1,1
163,10,0,1,5,2,2,1,1
164,10,1,1,5,2,2,1,1
165,10,1,1,5,1,2,1,1
166,10,1,1,5,2,2,1,1
167,10,1,1,5,2,4,1,1
168,10,0,1,5,2,4,1,1
169,10,1,1,5,2,4,1,1
170,10,0,1,5,2,4,1,1
171,10,2,1,5,2,4,1,1
172,10,1,1,5,2,2,1,1
173,10,1,1,5,2,4,1,1
174,10,0,1,5,2,3,1,1
175,10,0,1,6,2,3,1,1
176,10,1,1,6,1,3,1,1
177,10,0,1,6,2,3,1,1
178,10,0,1,6,2,3,1,1
179,10,0,1,6,2,3,1,2
