hid,htype,nbcars_agg,hsize,age_discrete,gender,marital_status,employment,driving_licence
0,10,2,1,4,1,1,1,1
1,10,0,1,5,2,1,1,1
2,10,0,1,5,2,4,1,1
3,10,0,1,5,2,4,1,1
4,10,1,1,5,2,4,1,1
5,10,0,1,5,1,4,1,1
6,10,0,1,4,1,4,1,1
7,10,2,1,4,1,4,1,1
8,10,2,1,5,1,4,2,1
9,10,1,1,5,1,4,2,1
10,10,1,1,5,1,1,2,1
11,10,0,1,5,1,1,2,1
12,10,1,1,5,1,1,2,1
13,10,1,1,5,1,1,2,1
14,10,0,1,5,1,3,2,1
15,10,0,1,6,1,3,2,1
16,10,1,1,5,1,3,2,1
17,10,1,1,5,2,3,2,1
18,10,1,1,5,1,3,1,1
19,10,1,1,5,1,3,1,1
20,10,5,1,5,2,3,1,1
21,10,5,1,5,2,1,1,2
22,10,1,1,5,2,1,1,2
23,10,2,1,4,2,1,1,2
24,10,2,1,4,2,1,1,2
25,10,0,1,4,2,1,1,2
26,10,0,1,4,2,1,1,2
27,10,0,1,4,1,1,1,1
28,10,2,1,4,1,1,1,1
29,10,2,1,4,1,4,1,1
30,10,2,1,4,1,1,1,2
31,10,1,1,5,1,1,2,2
32,10,0,1,5,1,4,2,2
33,10,0,1,5,1,2,2,2
34,10,0,1,5,1,2,2,1
35,10,0,1,5,1,2,2,1
36,10,0,1,5,1,2,2,1
37,10,3,1,5,1,2,1,1
38,10,1,1,5,2,2,1,1
39,10,1,1,5,1,2,1,1
40,10,1,1,5,2,2,1,1
41,10,0,1,5,2,2,1,1
42,10,0,1,5,1,2,1,1
43,10,1,1,5,1,4,1,1
44,10,0,1,5,1,1,1,1
45,10,1,1,5,1,1,1,1
46,10,1,1,5,1,1,4,1
47,10,0,1,5,1,1,1,1
48,10,0,1,5,1,4,1,1
49,10,1,1,5,1,2,1,1
50,10,0,1,5,1,2,1,1
51,10,0,1,5,1,4,1,1
52,10,0,1,5,1,4,1,1
53,10,1,1,5,1,4,1,1
54,10,1,1,5,1,4,1,1
55,10,1,1,5,1,4,1,2
56,10,1,1,6,1,4,4,2
57,10,1,1,6,2,4,4,2
58,10,1,1,6,2,3,4,2
59,10,1,1,6,1,4,4,2
60,10,0,1,6,1,4,4,1
61,10,1,1,6,1,4,4,1
62,10,1,1,6,1,4,4,1
63,10,0,1,6,1,4,4,1
64,10,0,1,6,1,3,4,1
65,10,0,1,6,1,3,4,1
66,10,1,1,6,1,3,1,1
67,10,0,1,6,1,3,1,1
68,10,1,1,6,1,3,4,1
69,10,1,1,6,1,3,4,2
70,10,0,1,6,1,3,4,1
71,10,0,1,6,1,3,4,1
72,10,1,1,6,1,3,4,1
73,10,0,1,6,1,3,4,1
74,10,1,1,6,1,3,4,1
75,10,1,1,6,1,2,4,1
76,10,0,1,6,1,2,4,1
77,10,1,1,6,1,2,4,1
78,10,0,1,6,1,2,4,1
79,10,0,1,6,2,3,4,1
80,10,1,1,6,2,3,4,1
81,10,1,1,6,2,3,4,1
82,10,0,1,6,1,4,4,1
83,10,1,1,6,1,4,4,1
84,10,1,1,6,1,4,4,1
85,10,1,1,6,2,4,4,1
86,10,0,1,6,2,4,4,1
87,10,1,1,6,2,4,4,1
88,10,1,1,6,2,3,4,1
89,10,0,1,6,1,3,4,1
90,10,0,1,6,2,3,4,2
91,10,1,1,6,2,3,4,2
92,10,1,1,6,2,3,4,2
93,10,1,1,6,2,3,4,2
94,10,1,1,6,2,3,4,2
95,10,1,1,6,2,3,4,2
96,10,2,1,6,2,3,4,2
97,10,1,1,6,2,3,4,1
98,10,1,1,6,2,3,4,1
99,10,1,1,6,2,3,4,1
100,10,1,1,6,2,3,4,1
101,10,1,1,6,2,3,4,1
102,10,1,1,6,2,3,4,2
103,10,1,1,6,2,3,4,2
104,10,1,1,6,2,2,4,2
105,10,0,1,6,2,2,4,2
106,10,0,1,6,2,2,4,2
107,10,0,1,6,2,2,4,1
108,10,1,1,6,2,2,4,1
109,10,0,1,6,2,2,4,2
110,10,1,1,6,2,2,4,2
111,10,1,1,6,2,2,4,2
112,10,1,1,6,2,3,4,2
113,10,1,1,6,2,3,4,2
114,10,1,1,6,2,3,4,2
115,10,1,1,6,2,4,4,2
116,10,1,1,6,2,4,1,2
117,10,0,1,6,2,4,1,2
118,10,1,1,6,2,1,1,2
119,10,1,1,6,2,1,4,2
120,10,1,1,6,2,1,4,2
121,10,1,1,6,2,1,4,2
122,10,0,1,6,2,1,4,2
123,10,1,1,6,2,1,4,2
124,10,0,1,6,2,1,4,2
125,10,0,1,6,2,1,4,1
126,10,0,1,6,2,1,4,1
127,10,1,1,6,2,1,4,1
128,10,1,1,6,2,1,4,1
129,10,1,1,6,2,1,4,1
130,10,0,1,5,2,1,4,1
131,10,1,1,5,2,1,4,1
132,10,0,1,5,2,1,4,1
133,10,0,1,5,2,1,4,1
134,10,0,1,5,2,1,4,1
135,10,2,1,5,2,4,4,1
136,10,2,1,5,2,4,4,1
137,10,1,1,5,2,4,1,1
138,10,1,1,5,2,4,1,1
139,10,0,1,5,2,4,1,1
140,10,0,1,5,2,4,1,1
141,10,1,1,5,2,4,1,1
142,10,1,1,5,2,4,1,1
143,10,0,1,5,2,4,2,1
144,10,0,1,5,2,4,2,1
145,10,0,1,5,2,3,2,1
146,10,0,1,5,2,4,2,1
147,10,1,1,5,2,4,4,1
148,10,0,1,5,2,1,4,2
149,10,0,1,5,2,1,4,1
150,10,1,1,5,2,1,4,1
151,10,1,1,5,2,1,4,1
152,10,1,1,5,2,1,1,1
153,10,0,1,5,2,1,1,1
154,10,1,1,5,2,4,1,1
155,10,2,1,5,2,4,1,1
156,10,0,1,5,2,4,2,1
157,10,1,1,5,2,4,2,1
158,10,1,1,5,2,4,1,1
159,10,1,1,5,1,1,1,1
160,10,1,1,5,2,1,1,1
161,10,1,1,4,2,1,1,1
162,10,0,1,4,2,2,1,1
163,10,1,1,4,2,2,1,1
164,10,0,1,4,2,2,1,1
165,10,1,1,4,2,2,1,1
166,10,1,1,5,1,2,1,1
167,10,1,1,5,1,1,2,1
168,10,1,1,5,1,1,2,1
169,10,0,1,5,1,1,2,1
170,10,0,1,5,2,1,2,1
